en_sentence	fa_sentence	translation	variety	county	orthography	translator
I wondered if the bishop's wife saw the flush on my face	متحیر بودم که آیا زن اسقف اثری را که به سرعت صاعقه. در اثر بردن این نام. در صورت من نمایان شده بود مشاهده کرده است یا نه.	گەرد وژم فکرم کرد ک ئایا ژەن ئوسخوفە سۏریە ئەر مل دەموڕۊم دییەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I am afraid, oh, I am afraid she will tell how she bowed to the ground after that four thousand.	آه! آری بیم آن دارم که که در دادگاه از آرامش قلب خود پس از خرج چهار هزار و پانصد روبل بحث کند.	زەڵەمە مەچوو، ئای، زەڵەمە مەچوو ک ئەو بووشێ چۊ دومار ئە چوار هزارە ڤە زەمین تەزیم کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but could not eat anything.	اما نتوانست غذا بخورد چون اشتهای خود را به کلی از دست داده بود.	بڵەم نمەتۊنستەێ چێ بەرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he walked into something very large and solid	ناگهان به مانع بزرگ و سختی برخورد کند	ئەو ئەر چێ فرە کەنگ و سفتەێ دریا	Kakavandi	Harsin	Southern Kurdish	MRY	
clutching his wrist	مچ دستش را محکم نگه داشته بود لنگ لنگان راه افتاد.	مچ گرتەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I did not care to face him alone in a place of magic.	دوست نداشتم تنها و در مکان جادویی باهاش روبرو به شم.	م دەربەن نەویم ک ڤە تەنیا ئەو ئەێ نام ی جا جادووئی بۊنم.	Kakavandi	Harsin	Southern Kurdish	MRY	
seeing him fail a little.	وقتی ایب متوجه شد که او در شرف سقوط است	دین کەمێ شکست هوردن ئەو	Kakavandi	Harsin	Southern Kurdish	MRY	
seeing as I know what I owes you.	مخصوصاً با در نظر گرفتن آنچه به شما مدیونم	چۊن مەزانم چ چێ ڤە هومە بدێکارم	Kakavandi	Harsin	Southern Kurdish	MRY	
to be my second self, and best earthly companion.	نیمه دوم من و بهترین دوست من در این عالم باشی.	تا دۏمین وژم و خاسترین هامڕێ زەمینیم بۊن.	Kakavandi	Harsin	Southern Kurdish	MRY	
but they kept on watching the room.	با کنجکاوی از لای شکاف در شروع به دید زدن کردند.	بڵەم ئەون هالیم سەێر ئووتاقەنە مەکرد.	Kakavandi	Harsin	Southern Kurdish	MRY	
I was not going to be nervous and shy with the servants any more.	دیگر من آن زن خجول و بی دست و پا نبودم که حتی از مستخدمین خانه خجالت بکشم.	دی نمەگستم ڤە گەر خزمەتکارێلە ئەسەبی و شەرمێن بم.	Kakavandi	Harsin	Southern Kurdish	MRY	
that he meant to take also a very good ass he had	ضمناً به گفته افزود که خر بسیار خوبی هم دارد و بهتر است آن را با خود بیاورد	ک ئەو مەگستێ ی خەر فرە خاس هن وژیژ برێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
the discovery that he did so delighted them.	این کشف موجب شادمانی ایشان شده بود.	پێ بردن ئەر یە ک ئەو ئی کارە کردۊتەێ، ئەون خوەشاڵا کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I must meet him with a heart at ease, and that quiet conscience	باید به خاطری مطمئن و ضمیری آسوده قدم به میدان مبارزت نهاده	باس ڤە دڵ ئاسوودە و ڤژدان ئارام بۊنمەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
so much was expressed in that one look	زیرا که از همین یک نظر چقدر مطالب به مرس ده مکشوف گردید.	فرە چێەل ڤە ئە سەێرە ڤتریا.	Kakavandi	Harsin	Southern Kurdish	MRY	
apparently obstructed by something in front.	ظاهرا صفوف نخستین به مانع برخورد بود.	بگر چێ نوا گرتۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
the good things he had eaten or would like to eat.	چیزهای خوبی که خورده بود یا دوست داشت بخورد.	چێەل خاسێ ک هوردۊتەێ یا خوەشە مەتێ بەرێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
his hair in an uproar of love	با موهایی که با عشق ژولیده شده بودند.	گیسەلێ ڤە نام جەنجالێ ئەژ دووس داشتن.	Kakavandi	Harsin	Southern Kurdish	MRY	
for, after the previous night's experience, he was afraid of losing it.	گویی از تجربه شب گذشته خویش عبرت گرفته بود و بیم داشت مبادا آن را گم کند.	چۊن دومار تەجربە دۏئەشەو، ئەو ئەژ ڤە دەس داین ئەڤە زەڵە مەچیاتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he had succeeded after a hard struggle in throwing off his sorrow like an empty shell.	پس از یک تکاپوی سخت موفق شده بود که درد خود را مانند یک پوستهٔ خالی از تن به در آورد.	ئەو دومار ی ململەکانی سەختێ پیرووز بی ک خەم وژ جوور ی تۊک هالیئێ هەوا بەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
smiling in spite of her sorrow.	لبخندی غمگنانه بر سیمای اسکار لت نشست.	ڤە خەمباریئیژا مەخەنیا.	Kakavandi	Harsin	Southern Kurdish	MRY	
must never be withdrawn as long as he lived.	چرا که تا واپسین دم اجازه خارج کردنش را نداشت.	نەباس بسینرێا تا هەنێ ک زنێ بی	Kakavandi	Harsin	Southern Kurdish	MRY	
I'll have my head took off, if he was ever in it.	حاضرم اگر ثابت شود در تابوت بوده گردنم را بزنند.	سەرمە مۏرنا ئەر ئەێ ڕاسیا ئەو ئەر هورە بەویا.	Kakavandi	Harsin	Southern Kurdish	MRY	
almost her first resolution, to seek her for that purpose, in the pump room at noon.	اولین تصمیمش هم این بود که به همین قصد وسط روز به سالنِ آب برود.	تەخریبەن یەکمین تەسمیم ئەو، ئەڕا جوستن ئەو ڤە ئی دەلیلە، ڤە ئووتاق پمپ ڤە نیمەڕوو بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
my certainty that everything in my life was in the right place tonight.	مطمئن از اینکه امشب همه چیز در زندگی من در جای درست قرار داشت.	دڵنیام ک ئیمشەو کول چێ ڤە زنەیما هار جا دورس وژ.	Kakavandi	Harsin	Southern Kurdish	MRY	
for I now began to be tortured with thirst.	زیرا تشنگی به شکنجه و آزارم آغاز کرده بود.	چۊن ئیسە دەسم کرد ئەر شکەنجە بین ڤە دەس تینیا.	Kakavandi	Harsin	Southern Kurdish	MRY	
she asked for the truth	این زن اصرار کرد و من خیلی دلم به حالش سوخت.	ئەو ڕاسەی گستێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but her determination was not to return.	ولی در واقع دیگر خیال بازگشت نداشت.	بڵەم ئرادە یە بیتەێ ک نایا.	Kakavandi	Harsin	Southern Kurdish	MRY	
but he cursed and made a disturbance to attract a policeman	لکن او شروع به فحاشی کرد و آشوبی بپا ساخت تا پلیس را به آنجا بکشاند.	بڵەم ئەو دوشمین دای و نائارامی دورس کردەێ تا پلیس بکیشنێەر هورە.	Kakavandi	Harsin	Southern Kurdish	MRY	
evidently expecting him to bow or to step out of his way.	گویی انتظار داشت که شاهزاده آندره به او تعظیم کند یا راه را برای او بگشاید.	دیارە چەمەڕێ یە بیە ک تەزیم بکەێ یا ڤە سەر ڕێ بچووتێە لا.	Kakavandi	Harsin	Southern Kurdish	MRY	
who have no remorse to disturb you.	از کسانی که باکی از آزار دادن شما ندارند	ک هۊچ پەشیمانی نێرن ک تو ئەزێەت بۊن	Kakavandi	Harsin	Southern Kurdish	MRY	
forgot her flighty conduct and their disapproval of it	همه چیز را فراموش کرده بودند و فرار عجولانه او را از یاد برده بودند	ڕەفتار سۏک و پەسەن نەکردن ئەون ئەێ ڤیر چتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
not looking where she was going	توجهی به او نداشت و چیزی نمانده بود	سەێر نمەکەێ بۊنەێ ئەڕا کووئە مەچوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
sitting in church on a fine carpet and cushions and draperies, in spite and in defiance of all the born ladies of the town?	چگونه بزرگ خواهی شد و فیس خواهی کرد و کوری چشم بانوان نجیب زادگان ولایت در کلیسا بر فرش خواهی نشست و بر بالش تکیه خواهی زد.	نیشتن ئەر کلیسا ڤە ڕۊ فەرش ڕەنگین و باڵشتەل و پەردەل، ڤە لا و سەرپێچیکردن ڤە گەر کول ژنەل ئەدی هەتێ شەر؟	Kakavandi	Harsin	Southern Kurdish	MRY	
instead of standing up made a guttural interrogative sound and pointed up in the air.	بجای ایستادن صدای عجیب غریبی از ته گلویش بیرون زد و به هوا اشاره کرد.	ڤە جیای هێز گرتن، دەنگ ئڵاجۏیەێ ڤە وژ ئاوردێ‌ئەێرە و ڤە هەوا ئشارە کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
which she read by the dim glare of the embers.	در پرتو نور ضعیف آتش بخاری مشغول خواندن آن است.	ک ئەو ڤە بڵێزە کەم نۊر زوخاڵێلە خەونەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but had some banknotes left over in her wallet.	بلکه مقدار زیادی اسکناس برایش باقی ماند.	بڵەم قیرێ ئسکناس ئەر کیف پۊلەی مەنۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I love telling that story.	من دوست دارم این قصه را خودم تعریف کنم.	خوەشمە مای ئی پارچا بووشم.	Kakavandi	Harsin	Southern Kurdish	MRY	
being not much out of his course	چون بسیار از مسیر آن دور نبودم خواستم به آن نزدیک شوم	فرە ئەر ڕێەی نەچۊئەو دەر	Kakavandi	Harsin	Southern Kurdish	MRY	
they had warned her what would happen.	به او هشدار داده بودند که این طور خواهد شد.	ئاگادارین ئە بین کردۊ ک چە ماو.	Kakavandi	Harsin	Southern Kurdish	MRY	
when we agreed to camp again in the valley bed.	باز همه موافقت کردیم که در آنجا توقف کنیم.	هەنێ تەوافقمان کرد یگل تر ئەر نام دووڵە کەمپ بەیمن.	Kakavandi	Harsin	Southern Kurdish	MRY	
straining his eyes to catch a glimpse of her face.	یهودی چشمان خود را بالا گرفت تا قیافه او را نبیند	چەمەل وژ تەنگ کردێ تا سەێرێ ئەر دەموڕۊ باجتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he was confident that he would make his peace with her.	حتم داشت که عاقبت با او به صلح و صفا خواهد رسید.	دڵنیا بی ک ڤە گەرد ئەو دووسیە مەکەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
but no one dared to stir.	ولی هیچ کدام جرأت نداشتند تکانی بخورند.	بڵەم کەس جۏرەت نەکردەێ بجۊلێا.	Kakavandi	Harsin	Southern Kurdish	MRY	
this fresh misfortune of beingforced to flee by night	این بدبختی جدید که ناچار بود در این ساعت شب فرار کند	ئی بەدبەختی تازە ک ناچار کریا ڤە شەو بهەیوای.	Kakavandi	Harsin	Southern Kurdish	MRY	
yet should understand how things stood between them.	نیز مایل بود او روابط میان خودش و آقای رمزی را درک کند.	ڤە ئی تەریژە باس بزانستای ڤەز بێن ئەون چۊنە.	Kakavandi	Harsin	Southern Kurdish	MRY	
not having yet had the honor of doing so	زیرا مجال نشده که شرفیاب خدمت ایشان گردم.	هالیم ئفتخار ئەنجام ئەڤە نیاشتێەسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
especially since he tried to hang himself.	طناب دار به خصوص به هوشش آورده است.	ڤە تایبەت ئەر هورە ک تڵاش کردۊتەێ پەت وژ باجێەو دار.	Kakavandi	Harsin	Southern Kurdish	MRY	
so I found myself alone in the midst of my enemies	من در میان دشمنان یکه و تنها ماندم	سە وژم تەنیا دی ڤە نام دوشمەنێلە	Kakavandi	Harsin	Southern Kurdish	MRY	
that she was going to be able todecide for herself whether she wanted me to marry her or not.	اونوقت خودش میتونه تصمیم به گیره که آیا دلش میخواد با من ازدواج کنه یا نه.	ک ئەو مەتۊنستەێ وژ تەسمیم بگرەێ ک ئایا میتەێ ڤە گەر م ئزدواج بکەێ یا نە	Kakavandi	Harsin	Southern Kurdish	MRY	
at three in the afternoon he was still waiting for it to clear.	تا ساعت سه بعدازظهر منتظر صاف شدن هوا ماند	ئەر سات س دومانیمەڕوو هالیم چەمەڕێ بی هەوا سافا بوو	Kakavandi	Harsin	Southern Kurdish	MRY	
who was at that time away at the front, though she was expecting him soon to return.	ولی بنا بود به زودی به شهر ما بازگردد دل سپرده بود	ک ئەسکە ڤە جبهە بی، بڵەم ئەو چەمەڕێ بی زۊترێ بایا.	Kakavandi	Harsin	Southern Kurdish	MRY	
I was glad to settle down into one of the chairs.	از ساکن شدن روی یک صندلی خوشحال بودم.	خوەشاڵ بیم ک ئەر مل یەکێ ئەژ سەندەلیلە نیشتم.	Kakavandi	Harsin	Southern Kurdish	MRY	
she was very stealthily, drew out her pocket handkerchief and applied it to her eyes	دستمالی از جیب درآورد و اشکهایش را با آن پاک کرد.	ئەو فرە ئارام، دەسماڵەی ئەێ نام جۊ ئاوردێ‌ئەێر و دایەر چەمەلێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
so the entire afternoon went by without a single opportunity.	بدین ترتیب تمام بعدازظهر هم سپری شد بی آنکه فرصتی به کلاید دست دهد.	سە تەمام دومانیمەڕوو بێ هۊچ فرسەتێ چێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
that the best method of dispelling such illusions was to drink	که بهترین وسایل از برای زایل ساختن این قسم صور خیالیه نوشیدن است.	ک خاستەرین شێڤە ئەرا ئەێ بێن بردن هانە تەڤەهمەلێ هوردن بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
stood in the middle of the sleigh, reins in hand.	در میان سورتمه خود ایستاد و مهاری اسب را به دست گرفت.	ڤە نام سوورتمەکە هووساوی، ئەوسار ئەێ دەس.	Kakavandi	Harsin	Southern Kurdish	MRY	
in a word, he confided his all to her generosity of heart.	بنابراین انتظار دارد که ناستازی کرامت کند و این ازدواج را تسهیل نماید	ڤە ی ڤشە، ئەو کول چێکەێ سپارد ئەر سخاوەت دڵ ئەو.	Kakavandi	Harsin	Southern Kurdish	MRY	
but before the week was out he was sure to think better of it, bring me my four penny piece,	لیکن یقین و اطمینان داشتم که پیش از پایان هفته خلق و خویش بهتر خواهد شد و سکه ی نقره را در کف دستم خواهد نهاد	بڵەم ڤرئەژ تەمام بین هەفتە دڵنیا بی ک فکر وژ مەگەوڕنێا، چوار پنیە م بار	Kakavandi	Harsin	Southern Kurdish	MRY	
it will please him to see these gentlemen prisoners	او از دیدن این آقایان اسیر خرسند خواهد شد.	ئەو خوەشاڵا ماو ک ئی پێال زندانیە بۊنەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
which had never prospered either in his hands or in those of his mother	هرگز او و مادرش را سعادتمند نساخته بود	ک هۊچ ڤەخت نە ئەێ دەسەل ئەو و نە ئەێ دەسەل دای سرەفرازا نەوی.	Kakavandi	Harsin	Southern Kurdish	MRY	
others had gone to the front	برخی از ایشان در وضعی به جبهه رفته بودند	ئەوالکان چۊنە جبهە	Kakavandi	Harsin	Southern Kurdish	MRY	
after urging him not to strip himself of his property	بعد از آنکه به او پیشنهاد کردم که خویشتن را از دارایی خویش محروم نسازد	دومار یە ک وادار کردەێ ک ڤە مڵک و ماڵ وژ نەگزەرەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
gave me out of the window her hand to kiss.	دست خود را از پنجره دراز کرد تا بر آن بوسه زنم.	دەس وژ ئەێ پەنجرە دامێە بێن تا ماچ کەمەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
though hardness, not gentleness, made him give little trouble.	البته این موضوع بدان جهت بود که وی به سختی و درد خو گرفته بود نه آنکه ذاتاً بچه آرام و بی دردسری باشد.	هەرچەن سەختی، نە مێرەبانی، بائثە مەویا ک ئەو کەم دەردێسەر داشتۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he learned that there had been a great battle that evening.	اطلاع یافت که عصر همان روز نبرد بزرگی در گرفته است.	زانستێ ک ئە ئیوارە جەنگ کەڵنگێ ڕۊ داویتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I pulled my hand free so that we could race back.	دستش رو رها کردم تا بتونیم با هم مسابقه بذاریم	دەسم ئازاد کرد تا بتۊنیمن ڤیرێ دوما بچیمنا	Kakavandi	Harsin	Southern Kurdish	MRY	
it was all done to assure her that she had fully recovered his good opinion.	اِما مطمئن شده بود که بار دیگر در دل آقای نای تلی جا باز کرده.	کول ئی کارەلە کریا تا ئەو دڵنیا بکەێ ک نەزەر خاس ئەو هرە کولیا ئەورگرتێەسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I had the curiosity to inquire in a particular manner	حس کنجکاوی مرا بر انگیخت که به طریقی خاص تحقیق کنم	م کونجکاو بیم ک ڤە شێڤەئەل تایبەت پرسیار بکەم	Kakavandi	Harsin	Southern Kurdish	MRY	
I stared at her face and tried to think of some way to make the future bearable.	به صورت او خیره شدم و سعی کردم به راهی بیندیشم که آینده را تحمل پذیر کند.	ڤە دەموڕۊ ئەو سەێرمە مەکرد و تڵاشم کرد ڤە ڕێ فکر فکەم ک ئایندە قابل تەئەملا کەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
remember that distant afternoon when his father took him to discover ice.	آن بعدازظهر دوردستی را به یاد آورد که پدرش او را برای یافتن یخ برده بود.	ئە ئیوارە دۊرە کەتێەو ڤیر ک باوەی ئەو ئەرا پیا کردن سەهوڵ برد.	Kakavandi	Harsin	Southern Kurdish	MRY	
I observed, she behaved herself at our house as cheerfully as the rest	من دیدم که او در خانه ما مانند دیگران شاد و خرم است	م دیم، ئەو ئەر ماڵ ئیمە چنە ئەونێ تر ڤە دڵخوەشیا ڕەفتارە مەکردەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
I could see that she was afraid, though.	می تونستم بفهمم که این موضوع واقعاً او نو ترسو نده بود.	بڵەم مەتۊنستم بۊنم ک زەڵە چێەسەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
again she was roused as usual by something incongruous.	ولی بار دیگر یک چیز غیرعادی توجهش را جلب کرد.	دوارە جوور هەردەجاران ڤە چێ نامتناسبێ ڤە خاو ‌هێز گرت.	Kakavandi	Harsin	Southern Kurdish	MRY	
the same way he used your mother.	همان طور که از مادرتان استفاده کرد.	هرەتەرە ک دات ڤە کار گرتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
now gazed at him, fascinated by his enthusiasms.	اینک مسحور از این همه اشتیاق صرفا به او زل زد.	ئیسە سەێرە مەکردەێ، شێت شوور و شەوق بۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
when all this was observed in him	وقتی تمامی این امور در او به نظر رسید	هەنێ کول یونە ڤە نام ئەو دیارا بی	Kakavandi	Harsin	Southern Kurdish	MRY	
leaning on his saber and beating time with his foot	آرنجش را روی شمشیرش تکیه داد و با پا به آهنگ رقص ضرب گرفت.	تەک داسێە شمشێرەی و ڤە پاکەی زەرب گرتۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
of never complaining, never criticising, no matter what happened	مبنی بر اینکه هرچه هم پیش بیاید هرگز لب به شکوه باز نکنند و خرده نگیرند	هۊچ ڤەخت گلەی نەکردن، هۊچ ڤەخت ڕخنە نەکردن، دەربەن نیە هەرچێ بکەوێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
left him there alone.	در آنجا او را تک و تنها گذاشتند.	ئەر هورە تەنیا هیشتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
regret, in a reasonable way, that he should be so late.	خیلی هم معقول افسوس بخورد که چرا این قدر دیر آمده.	پەشیمانی، ڤە شێڤەێ مەنتقی، ک ئەخکە دێر بکەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
for the first time, unaccountably ashamed of the number of his servants and of the splendour of his table.	برای نخستین بار به طرزی توصیف ناپذیر از تعداد خدمتکاران خود و شکوه میزش شرمنده شد.	ئەرا گل یەکم، ڤە تەرێ ک نماو بووشینەێ، ڤە شمارە خزمەتکەرەلەێ و شکوو مێزەی شەرمەندە بی.	Kakavandi	Harsin	Southern Kurdish	MRY	
he shunned my eye.	از نگاه به چشمان من پرهیز کرد.	وژەێ چەم م دۊر کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
then bestowed upon it a kick which could have emanated from no leg but a beadle's.	بعد لگد سختی که فقط از پای بازرسی ممکن است صادر شود بر آن وارد آورد.	دومار لەخەێ دایەرن ک هەر مەتۊنستەێ ڤە پا ی فەڕاشێ بوو.	Kakavandi	Harsin	Southern Kurdish	MRY	
without strong affection and humanity of heart	اصولاً بدون داشتن قلبی که سرشار از احساسات بشری و محبت باشد	بێ مهەبەت نیروومەند و ئنسانیەت دڵی	Kakavandi	Harsin	Southern Kurdish	MRY	
again she earnestly conjured me to give up all thoughts of going out with her brother.	باز هم با اصرار زیاد از من خواست که اصلاً فکر رفتن با برادرش را از سر خود بیرون کنم.	دوارە ڤە پافشاری ڤە م گستەێ ک فکر دەر چین ڤە گەر براکەی ڤە سەر وژ باجمەو دەر.	Kakavandi	Harsin	Southern Kurdish	MRY	
if it were not enough we were to let her know	اگر این مبالغ کافی نباشد کافی است به او خبر بدهیم	ئەر بەس نەوی، باس ئاگامان بێیا بێن	Kakavandi	Harsin	Southern Kurdish	MRY	
I told you he was plain.	به شما گفته بودم که خیلی معمولی است.	ئەبێنم ڤتین ک ئەو سادەێە.	Kakavandi	Harsin	Southern Kurdish	MRY	
leaning against the bulwarks, and mildly eyeing those around him	به موج شکن تکیه داد و نگاهی نرم به اطرافیان افکند	تەک دایەر سەنگەرێلە و ڤە نەرمی سەێر ئیلا و ئەلا مەکردەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
it shuddered at the thought of tottering, and plunging amid that chaos.	از تصور سقوط و فرورفتن در چنان گردابی به لرزه افتاد.	ڤە فکر ڕکیاین و ئەێرچین ئەر نام ئە ئاژاوە، کەتەو ڕکین.	Kakavandi	Harsin	Southern Kurdish	MRY	
he first stood and then seated himself	ابتدا چند لحظه ایستاد و بعد روی صندلی نشست.	یەکم هووسا و دومار نیشت.	Kakavandi	Harsin	Southern Kurdish	MRY	
before we are through you shall see for your selves.	پیش از آنکه دفاعیات ما تمام شود شما به صحت این نکته پی خواهید برد.	ڤر ئەژ یە ک کارمان تەمام بوو، وژتان مۊنینان.	Kakavandi	Harsin	Southern Kurdish	MRY	
but before he could do anything else	اما قبل از آن که واکنشی از خود نشان دهد	بڵەم ڤر ئەژ یە ک بتۊنەێ کارەێ تر بکەێ	Kakavandi	Harsin	Southern Kurdish	MRY	
to set forth the valour of my own dear countrymen	سپس خواستم دلاوری هم وطنان خود را شرح دهم	ئەرا ڤتن بێباکی هامنیشتمانەل ئەزێزم.	Kakavandi	Harsin	Southern Kurdish	MRY	
I told him, too, that he being in other things such an extremely sensible and sagacious savage	همچنین به او گفتم که چون در سایر چیزها مرد وحشی بسیار باهوش صاحب فهمی است	ڤە ئەومیژ ڤت ک ئەو ڤە چێەلێ تر ی دەڕەندەێ فرە ئاقل و هووشیارە.	Kakavandi	Harsin	Southern Kurdish	MRY	
putting out her hand behind her, held mine in it, until we came near to where he was standing in the garden, where she let mine go, and drew hers through his arm.	اما در همان حال معلوم بود که دلش لبریز از مهر است.	دەسێ ڤە پشتا درێژ کرد و دەس م گرتێ، تا نزیک بیمنەر جای ک ئەو ڤە نام باخ هووساوی، دومار دەس م ڤێڵ دای و دەسێ ڤە بازوو ئەو ڕەد کردەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
my late anguish was swallowed in a paroxysm of despair.	ناگهان در خود احساس غربت و نومیدی وصف ناشدنی کردم.	خەم قەدەمیەکەم ڤە نام ی هەڵمەت ناهەڵمانەێ ڤە ناهومێدی قۏرت دریا.	Kakavandi	Harsin	Southern Kurdish	MRY	
but the hand made no response'dropped cold and heavy, and took to its knitting again.	اما دست مادام دوفارژ در برابر آن هیچ گونه واکنشی نشان نداد و سرد و سنگین بافتن از سر گرفت.	بڵەم دەس هۊچ پێامەێ نیای، سەرد و سەنگین کەت و گلێ تر دەس بردێە بافتنا.	Kakavandi	Harsin	Southern Kurdish	MRY	
I was not to be assured immortal life.	از رسیدن به جاودانگی بی قید و شرط محروم شدم.	نەباس دڵنیا بەویام ڤە زنەی نەمر.	Kakavandi	Harsin	Southern Kurdish	MRY	
till we fell into a profound sleep	تا سرانجام به خوابی عمیق فرو رویم.	تا هەنێ ک چیمنە خاو قۏڵێکا.	Kakavandi	Harsin	Southern Kurdish	MRY	
she endeavoured not to be uneasy	اِما تصمیم گرفت فکر بد به سرش راه ندهد.	ئەو تڵاش کردێ ک نائارام ناو	Kakavandi	Harsin	Southern Kurdish	MRY	
suggested the plan of going over to see the grandmother.	پیشنهاد کرده بود که به دیدار مادربزرگ برویم.	پێشنهاد کردەێ ک ڤە دین دا کەڵنگە بچیم.	Kakavandi	Harsin	Southern Kurdish	MRY	
but with eyes still cast down, soon went on.	اما همچنان با نگاه پایین افت ده گفت	بڵەم ڤە چەمەلێ ک هالیم سەێر هورانە مەکرد، هرە زۊئی ئدامە دای.	Kakavandi	Harsin	Southern Kurdish	MRY	
I shall be on the king's left and as I am the chief person threatened, remain at the coach door to the left.	من در طرف چپ شاه خواهم بود شما طرف چپ کالسکه را داشته باشید.	م هامەر لا چەپ پادشا و چۊن م مهم تەرین ئایمێکم ک تەهدیدان کردێە، ڤە دەر لا چەپ کاڵسکەوا مەمینم.	Kakavandi	Harsin	Southern Kurdish	MRY	
but this attitude of silent and open eyed attention had marked him out for a victim.	لکن قربانی قیافه ساکت و متعجب خود گردید.	بڵەم ئێ حاڵەت تەڤەجۏ بێ دەنگ و چەم ڤازە، ئەو ڤە قوڕوانی دیار داویتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
perhaps such men may have been able to relate their feelings afterwards.	این مرد ممکن است احساسات خود را برای شما تشریح کند.	هایتر هانە پێالەێ تۊنستۊان ئساسات وژان دومار بووشن.	Kakavandi	Harsin	Southern Kurdish	MRY	
I shall carry the mark to my grave.	جای آن تا دم مرگ در تنم باقی خواهد ماند.	م ئی نیشانە مێرێمە گووڕا ڤە گەرد وژ.	Kakavandi	Harsin	Southern Kurdish	MRY	
tossed the rifle onto the corpse, and walked home.	تفنگ را به روی جنازه انداخت و به خانه رفت.	تفەنگە ئاشتێەر سەر جنازە مردێە و چێ ئەرا ماڵ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I felt him grasp my hair and my shoulder	حس کردم موی سرم و بازویم را گرفته.	هسم کرد گیسەلم و شانم گرتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
I suppose you angered him somehow?	به طور یقین شما او را خشمگین ساخته بودید.	فکرە مەکەم ڤە تەرێ ئەوت تووڕانە؟	Kakavandi	Harsin	Southern Kurdish	MRY	
then let me die.	ولو اینکه من از شادی قالب تهی کنم.	دومار بیلا بمرم.	Kakavandi	Harsin	Southern Kurdish	MRY	
in order to force him to raise his head a secondtime.	تا وادارش کند که یک بار دیگر سر بردارد.	ئەڕا یە ک مەجبوور کەمەێ ئەڕا گل دۏئم سەر هێز دەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
he had only to reach out his hand to take his pen	کافی بود دست دراز کند و قلم بردارد	ئەو هەر باد دەس دریژ بکردای تا قەڵەمە هێز بەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
that something had happened, some one had blundered.	فهمید اتفاقی افتاده و کسی دسته گلی به آب داده بود.	ک چێ بۊ، کەسەێ خڵەت کردۊتەێ.	Kakavandi	Harsin	Southern Kurdish	MRY	
which she did with great cheerfulness and quickness.	این عمل را با خوشحالی و چالاکی انجام داد.	ک ئەو ڤە خوەشی و زۊا ئەنجام دای.	Kakavandi	Harsin	Southern Kurdish	MRY	
when my door suddenly opened and this gentleman walked in.	که ناگهان در باز شد و این آقا نمایان گردید.	ک یگلی درەم ڤاز کریا و ئێ پێا هەتەو نام.	Kakavandi	Harsin	Southern Kurdish	MRY	
