en_sentence	kmr_sentence	translation	variety	county	orthography	translator	3332
I think it was a wonderful prize Pug. All that brain training has given me an idea.	Bi min ew xelateka baş bû, Pug. Me mejîyê xwe ewçend şixuland, aqilek hat min.	Bi mi a yew xelata weş bîye Pug. Ma pîya mezgê xo xebitna û fikrî ameyî aqilê ma.	Standard		Kurdish	MO	
Will Earth dust do instead?	Toza dinyayê bi kêr nayê?	Tozê dinya beno gelo?	Standard		Kurdish	MO	
Oops. Sorry Dog. I'm doing my magictrick backwards.	Wîî. Bibore Seg. Ez hîleyên xwe yên sêhrê berevajî dikim.	Oops. Ef bike Kutik. Ez hîleyê xo yê sêhrbazîye peyser gêna.	Standard		Kurdish	MO	
And cream, lots of cream. Creamoverflowing. And cream.	Û krema, gelek krema. Krema dê biherike. Û krema.	Û krema, zaf krema. Krema ke serraijîyeno. Û krema.	Standard		Kurdish	MO	
HELLO BOOKSHOP MICE!	Silav, mişkên pirtûkxaneyê!	MERHEBA MERREYÊ KITABXANEYÎ!	Standard		Kurdish	MO	
I'm sorry Dog.	Bibore, Seg.	Mi ef bikere Kutik.	Standard		Kurdish	MO	
Ready, Pug?	Tu amade yî?	Ti amade yî, Pug?	Standard		Kurdish	MO	
Wait, Pug ... That ant hill means just one thing -	Raweste… Ew girê morîyan bi tenê tê wateyekê –	Vinde, Pug... No girê morcelayan tena yew manaya xo est a -	Standard		Kurdish	MO	
I am beside myself!	Ez li rex xwe me!	Ez kîşta xo de ya!	Standard		Kurdish	MO	
There may be better things to wear on your head when you want to tell people what to do Pug.	Himm. Bi min pêşî tiştên baştir bide serê xwe û piştra ji mirovan ra bibêje bila ew jî wisa bikin.	Belkî çîyê hîna weşî est ê ke merdim sereyê xo ser bido û dima merdiman ra vajo ke ê do se bikerê.	Standard		Kurdish	MO	
That is magic AND a real unicorn Pug.	Ew sêhr û yûnîkorneka rastîn e, Pug.	O sêhr o û yew unicorno raştikên o Pug.	Standard		Kurdish	MO	
When I ve built it's bigger brain it won t be a mere machine like Dogstar One.	Min ew bi mejîyekê mezintir çêkir, ew dê nebe wekî makîneya Segstêrk Yek.	Wexto ke mi mezgê ey girdêr viraşt, o êdî nêbeno sey yew makîneya sey Kutikstare Yewî.	Standard		Kurdish	MO	
And so King Arthur s round table became the stuff of legend and brought much needed peace and harmony to the magical castle of Camelot.	Û maseya Şah Artur ya gilover bû tiştekê efsanewî û wê aramî û ahenga ku ji qesra bisêr ya Kamelotê ra lazim bû anî.	Û wina masaya Şah Arturî ya gilovere bîyeçîyêko efsanewî û aramî û ahengê ke qesra sêhrêne ya Kamelotî rê zaf lazim bî, peyda kerd.	Standard		Kurdish	MO	
Hoo hoo hoo!	Hûû hûû hûû!	Hoo hoo hoo!	Standard		Kurdish	MO	
And I think these sticks meansomething important. Let us explore more.	Û bi min ev darik tên wateya tiştekê giring. De em hinekî din jî bigerin.	Û ez vana nê darî manaya çîyêko muhîm danê. De ma hîna zêde bigêrê.	Standard		Kurdish	MO	
Pug said it was the best part of the day and it took us all the way to	Pug got ew tiştê herî xweş yê rojê bû û bi wî awayî maceraya me…	Pugî va ke o qismê tewr weş ê roje bi û wina maceraya ma qedîtyaye..	Standard		Kurdish	MO	
OK then.. Close your eyes.	Baş e. Çavên xwe bigirin.	Baş o. Çimanê xo qefelnê.	Standard		Kurdish	MO	
What s happening?	Çi diqewime?	Çi qewmîyeno?	Standard		Kurdish	MO	
I think that sums up my own feelings too. YIPPPPPPPPPP!	Ez dibêjim qey ew hest ji dilê min jî tê. Dayêêêêêêêê!	Ez fikirîyena ke no hîsê mi zî îfade keno. DAYÊÊÊÊÊÊ!	Standard		Kurdish	MO	
Clown feet stay on the ground.	Lingên qirdikan ji erdê ranabin.	Lingê palyaçoyan erd ra berz nêbenê.	Standard		Kurdish	MO	
You know my name.	Tu navê min dizanî.	Ti nameyê mi zanî.	Standard		Kurdish	MO	
Pug, I'm sorry too. By being kanga-rivals look what we ve become.	Pug, tu jî li min bibore. Reqîbîya me em xistin vê rewşa xerab.	Pug, ez zî ef wazena. Reqîbîye ma ma vistî çi hal ke ma wina herre de mendî.	Standard		Kurdish	MO	
To the wheelie-ladder, Dog?	Em herin ser nêrdewanê, Seg?	Ma şirê nêrdîwane ser o Kutik?	Standard		Kurdish	MO	
Heh. I ll never get a piece of that pizza...	Hih. Ez dê tu caran wê pîzayê nexwim…	Hih. Ez do qet parçeyêk a pîzza nêwerî...	Standard		Kurdish	MO	
That. D-dogs and bats!	Ew. S-seg û şevşevok in!	O. K-kutikî û şewşewik ê!	Standard		Kurdish	MO	
We re very happy in our underground home.	Em di mala xwe ya di binê erdê da pir şad in.	Ma heme keyeyê xo yê binê erdî de zaf şa yê.	Standard		Kurdish	MO	
...I love rereading books I ve read before.	…ez ji wan pirtûkan hez dikim ku dîsa dixwînim.	... kitabê ke mi verê wendê reyna wendişê înan ra hes kena.	Standard		Kurdish	MO	
No! Dragons are wild creatures, not pets	Na! Ejdeha aferîdeyên kovî ne, ne kedî ne.	Ney! Ejderhayî heywanê kovî yê, kedî nîyê	Standard		Kurdish	MO	
This place is the pits Dog.	Ev der pîsta pêşbazîyê ye.	Tîya pîstê musabaqan o Kutik.	Standard		Kurdish	MO	
Poor Dog.	Segê reben.	Kutiko reben.	Standard		Kurdish	MO	
I think it may take more than a biscuit to make me less shouty today.	Bi min biskiwîtek dê têrê neke ku ez îro aram û bêdeng bibim.	Ez fikirîyena ke yew biskuwîte bes nîya ke ez ewro bêveng û rehet bimana	Standard		Kurdish	MO	
From the time she was ayoung girl Enid Brighton had a very vivid imagination...	Hîn dema ku Înid Braytin biçûk bû, ew xwedî hêzeka xurt ya xeyalkirinê bû.	Wexto ke a hema kêneke bîye, Enid Brightonî de yew xeyalo zaf xurt est bi...	Standard		Kurdish	MO	
This is a book about a man who was marooned on a desert island. And it is called...	Ev pirtûk li ser zilamekî ye ku li giraveka dûr bi tenê û asê maye. Û navê wê…	No yew kitab o derheqê yew mêrdekî de yo ke yew girawa venge de tena mendo. Û nameyê ey...	Standard		Kurdish	MO	
And here we are!	Û va ye em hatin!	Û ha yo ma ameyî!	Standard		Kurdish	MO	
Two down. One to...WOAH!	Du li vir in. Yek ma… aaaa!	Di tîya yê. Yew mendo... WOAH!	Standard		Kurdish	MO	
Or it would just look like a lampor candle from a cottage on the cliff top.	Hii hii! Yan na ew dê bi tenê wekî lembeya holikeka li ser girekî xuya bibe.	hi hi! nêke do sey yew lamba yan mûm ke yew girêkî ser o bibo, aseno.	Standard		Kurdish	MO	
Hello Brain. Is anyone in?	Silav Mejîyo. Kes heye?	Merheba Mezgo. Kes tede est o?	Standard		Kurdish	MO	
Well done, Pug. You solved the maze- puzzle, by looking at it differently. Instead of trying to get away from the Minotaur, you followed your nose towards him, and we all made a new friend.	Sihet xweş, Pug. Te bi awayekê cuda li pazila labîrentê nêrî û te rêya rast dît. Li şûna ku tu ji ber Mînotorî birevî, tu ber bi wî ve çûyî û bi saya te me hemûyan hevalekê nû çêkir.	Aferin, Pug. To bi nîyadayîşê cîyayî pazilê Labirentî hal kerd. Herinda ke ti Mînotorî ra biremî, ti ver bi ey şî û xo bi hewayêk resna het ey, û ma pêrune yew embazê newe peyda kerd.	Standard		Kurdish	MO	
I-I don t think I can do this.	E-ez nikarim wê bikim.	E-ez vana qey ez nêeşkena ney bikera.	Standard		Kurdish	MO	
There s no time for sleeping, Ineed to be spreading moon dust around the world...	Ji bo razanê wext tune ye. Divê ev toza heyvê li seranserê dinyayê were reşandin.	Seba hewnî wext çin o, ez ganî nê tozê aşme heme dinya ser o vila bikera...	Standard		Kurdish	MO	
Wait Dogstar. Wait!	Raweste Segstêr. Raweste!	Vinde Kutikstare. Vinde!	Standard		Kurdish	MO	
No it didn t Dog. But now we don t have to.	Na, wê nîşan neda. Lê êdî hewce nake.	Ney, ey nîşan nêda. La êdî hewce zî nêkeno.	Standard		Kurdish	MO	
Acorns from the oak tree Pug.	Berû ji darberûyê dikevin, Pug.	Berûyê daranê mazêrî yê Pug.	Standard		Kurdish	MO	
You re looking very smart today Dog.	Tu îro gelekî zîrek dixuyî, Seg.	Ti ewro zaf zîrek asenî Kutik.	Standard		Kurdish	MO	
Hello. I am Dog and this is Pug.	Silav. Ez Seg û ev jî Pug e.	Merheba. Ez Kutik a û no zî Pug o.	Standard		Kurdish	MO	
I have a hunch that s the kind of place a dragon might feel at home.	Dilekê min dibêje ku ev cihekê wisa ye ku ejdehayek xwe li mala xwe his bike.	Ez vana qey wina yew tewir cayêk o ke ejderhayêk ganî xo keyeyê xo de hîs bikero.	Standard		Kurdish	MO	
No.	Na.	Ney.	Standard		Kurdish	MO	
I think I can see a Yeti!	Ez dibêjim qey min Yetîyek dît!	Ez vana qey mi yew Yetî dî!	Standard		Kurdish	MO	
To the wheely ladder Pug.	Em herin ser nêrdewanê, Pug.	Ma şêrê nêrdîwane ser o Pug.	Standard		Kurdish	MO	
Dog unwrapped books.	Segî pirtûk ji qutîyê derxistin.	Kutikî kitabî paketê înan ra vetî.	Standard		Kurdish	MO	
I ll save you!	Ez hatim, Pug! Aaa! (helkehelk) Aaaa! (helkehelk) Ooh!	Ez do to xelas bikera!	Standard		Kurdish	MO	
Really Dog?	Bi rastî, Seg?	Raşt a Kutik?	Standard		Kurdish	MO	
Hahah Can I have another go please?	Ez careka din biceribînim?	Hahah Ez şêna reyna bikerî keremê xo ra?	Standard		Kurdish	MO	
Now ye be pirates too!	Îcar hûn jî bûn korsan!	Nika şima zî bîyê korsan!	Standard		Kurdish	MO	
Hoo hoo hoo! Aa aa aa aa!	Hûû hûû hûû! Aa aa aa aa!	Hoo hoo hoo! Aa aa aa aa!	Standard		Kurdish	MO	
Now I can top up the oil and re-light it.	Ez dê don têxim lembeyê û wê pê bixim.	Nika ez eşkena zeytî piro kera û reyna vêşna.	Standard		Kurdish	MO	
Are you crew? I could do with crew.	Hûn kî ne? Ez we bikim muretebat?	Şima xebatkar ê? Ez eşkena şima bikerî xebatkar.	Standard		Kurdish	MO	
That is my new favourite book.	Min ji wê pirtûkê pir hez kir.	No kitabê min favorî yo newe yo.	Standard		Kurdish	MO	
Sorry! Must dash!	Bibore! Ez diçim!	Ef bike! Ganî ez şira!	Standard		Kurdish	MO	
I can t find the brakes!	Frena wê nexuya ye.	Ez nêşêna frenî bivîna!	Standard		Kurdish	MO	
That is my new favourite book – now it's over.	Min ji wê pirtûkê pir hez kir – ew êdî bi dawî bû.	No kitabê min o favorî yo newe yo - nika qedîya.	Standard		Kurdish	MO	
What an excellent idea Pug. Cats love cream.	Fikra te gelekî baş bû, Pug. Pisîk ji kremayê hez dikin.	Çi fikrêko weş o Pug. Pisîngî krema ra hes kenê.	Standard		Kurdish	MO	
Hide! In a bush!? The Queen of England?(change of mood) What fun!	veşêrin! Li nav devîyekê! Şahbanûyê Îngilistanê! Çi xweş e!	Binimnê! Vaşî mîyan de!? Qralîçeya Îngilîstanî? (huyena) Çi weş o!	Standard		Kurdish	MO	
Now, that IS good.	Ev wêne pir baş e.	Nika, no WEŞŞ o.	Standard		Kurdish	MO	
My apologies Pug. I moved.	Bibexşîne, Pug. Ez lebitîm.	Ef bike Pug. Ez leqîyaya.	Standard		Kurdish	MO	
..I love books that ask exciting quest ions like..	… ez ji pirtûkên ku pirsan dikin hez dikim.	...ez kitabanê ke persanê heyecanînan kenê, înan ra hes kena sey...	Standard		Kurdish	MO	
We have to get that hat back Pug.But how?	Divê em şewqeyê jê bistînin Pug. Lê çawa?	Ma ganî a şewqa peyser bigîrê Pug. La senî?	Standard		Kurdish	MO	
It was fun watching him makepictures for a while Dog, but can we go home now?	(bawişkîn) Temaşekirina xêzkirina wî ya wêneyan xweş bû Seg, lê em herin malê?	Tamaşekerdişê resimviraştişê aye weş bi Kutik, la ma eşkenê şirê keye nika?	Standard		Kurdish	MO	
And lead the rabbits back into your magic hat.	… û berê kîvroşkan bidî nava şewqeya bisêhr.	Û hargûşan bîya şawqaya xo ya sêhrêne.	Standard		Kurdish	MO	
And inside...	Û di tê da…	Û zereyê aye de...	Standard		Kurdish	MO	
Pug?	Pug?	Pug?	Standard		Kurdish	MO	
Let's congratulate George instead.	Ka em herin û Corc pîroz bikin.	De ka ma şirê Georgeî pîroz bikerê.	Standard		Kurdish	MO	
Objectives... Perspectives... Detectives!	Himm. Objektîf… Perspektîf… Dedektîf!	Hmm. Objektîfî... Perspektîfî... Dedektîfî!	Standard		Kurdish	MO	
Especially those who guided ships home safely from the sea. The end.	Nemaze ji bo wan kesan ku keştî bi saya wan vedigerîyan malê. Dawî.	Bitaybetî ê kesê ke keştîyan de bi ewlehîye deryayî ra agêrayêne keye. Peynî.	Standard		Kurdish	MO	
Just this very mornin .	Îro serê sibehê.	Tam ewro serê sibayî.	Standard		Kurdish	MO	
MY granny - Granny Pug!	Dapîra min e – Dapîra Pug!	Dapîra Min a - Dapîra Pug!	Standard		Kurdish	MO	
Isn t it marvellous!	Pir baş e, ne wisa?	Zaf weş o, winî nîyo?	Standard		Kurdish	MO	
‘The Hunting Of The Snark.’	‘Nêçîra Segmarê’ ye.	“Seydkerîya Kerga Misirî yî” yo	Standard		Kurdish	MO	
But most of all and best of all..	Lê herî zêde û ji her tiştî bêhtir…	La tewr zaf û her çî ra zafêr...	Standard		Kurdish	MO	
That is what people come here tofind out. Let's read on.	Mirov ji bo dîtina wî tên vir. De em xwendinê bidomînin.	Merdimî seba ke ney bizanê yenê tîya. Ma wendiş dewam bikê.	Standard		Kurdish	MO	
We re very sorry if we caused you any distress.	Li me biborin eger me hûn tirsandibin.	Ma efê xo wazenê eke ma şima tersnayê.	Standard		Kurdish	MO	
...Witch Willow.	…Cadûkar Wîlow e.	...Cadû Willow a.	Standard		Kurdish	MO	
Dog blew his nose.	Segî fiş kir.	Kutikî pifî kerdî.	Standard		Kurdish	MO	
A.I. means Artificial Intelligence Pug. It's the thing inside robots that almost makes them think.	Hişê çêkirî dê bi kêrî te were, Pug. Hişê çêkirî yê di robotan da hema hema dike ku ew bifikirin.	H.V. manaya xo Hişê Viraşteyî ya, Pug. No çîyo ke robotan de est o hema hema keno ke ê bifikirîyê	Standard		Kurdish	MO	
Is this the only way to pay forpaint here?	Hûn heqê boyaxê bi vî awayî didin?	Şima heqê boyaxî yê nê awanîyî danê?	Standard		Kurdish	MO	
Oh, I can deal with them.	Oo, ez dê wan rawestînim.	Oh, ez eşkena înan îdare bikera.	Standard		Kurdish	MO	
Nom nom nom. This tastes like...(Shock) Fish. Dogs don t like Fish. FISSSSSSH!	Ham ham ham. Tama van dişibe… yeeq! Masîyan. Seg masîyan naxwin. Masîîîî!	Ham ham ham. Tamê nînan	Standard		Kurdish	MO	
That is... very different.	Lê ev… pir cuda ye.	No... zaf cîya yo.	Standard		Kurdish	MO	
And it is called...	Û navê pirtûkê…	Û nameyê kitabî...	Standard		Kurdish	MO	
But there not...	Lê ew ne…	La ê nê...	Standard		Kurdish	MO	
Bats all folks!	Ewqas bû, hevalino!	Hende bî embazêne!’	Standard		Kurdish	MO	
A pool.	Hewzek.	Yew gol.	Standard		Kurdish	MO	
That is very clever!	Kraken pir zîrek e!	Kraken zaf aqilmend o!	Standard		Kurdish	MO	
Like Dog and...	Yên wekî Seg û…	Sey Kutik û...	Standard		Kurdish	MO	
Trying to solve the most baffling mystery of my career. But I seem to have lost my assistant.	Ez hewl didim ku nepenîyeka mezin çareser bikim. Lê xuya ye ku berdestkê min winda bûye.	Ez wazena ke sirrê tewr zehmetê karîyerê xo eşkera bika. La aseno ke mi hetkarê xo vîndî kerdo.	Standard		Kurdish	MO	
Now you are mine!	Hih! Min tu girtî!	Hi! Mi ti tepîştî!	Standard		Kurdish	MO	
Where did he come from?!	Ew ji ku derê derket?!	O kotî ra ame wina?!	Standard		Kurdish	MO	
That is my new favourite book... although I liked the one about cavemen pirates in space too.	Min ji wê pirtûkê pir hez kir… lê min ji pirtûka korsanên şkeftî yên li fezayê jî hez kiribû.	No kitabê min favorîyo newe yo... la mi kitabo korsananê şikeftî yê fezayî zî hes kerdbî.	Standard		Kurdish	MO	
What happens next?	Piştra çi qewimî?	Dima se beno?	Standard		Kurdish	MO	
I love books that start with a...	Ez ji pirtûkên ku weha dest…	Ez kitabanê ke wina dest…	Standard		Kurdish	MO	
We re not cold anymore Dog. We re hot!	Em êdî nacemidin, Seg. Em germ bûn!	Ma êdî nêcemidîyenê, Kutik. Ma germin ê!	Standard		Kurdish	MO	
Computer, please play my panic playlist.	Komputer, li muzîka min ya panîkê bide.	Komputer, keremê xo ra muzîkê panîkî bicene.	Standard		Kurdish	MO	
Every race I race he cheats and makes sure that I lose.	Di her pêşbazîyan da ew hîleyan dike û min têk dibe.	Her musabeqa de o xapêneno û paweno ke zorê mi şêro.	Standard		Kurdish	MO	
I am the fastest!	Ez lezgîntir im!	Ez tewr bilez a!	Standard		Kurdish	MO	
And do you have a very good answer Dog?	Û bersiveka te ya baş heye, Seg?	Û to de yew cewabo zaf weş est o Kutik?	Standard		Kurdish	MO	
Granny Pug s Guide To Caves and Caverns.	Rêbera Dapîra Pug ya Şikeft û Berqefan.	Rayberîya Dapîra Pug yê Şikeft û Cêrzemînan.	Standard		Kurdish	MO	
Granny Pug had left her lunchbox the beach whilst she was researching a new edition of Granny Pug s Book of Beaches .	Dapîra Pug qutîya xwe ya xwarinê li peravê hişt û ji bo pirtûka xwe ya bi navê Pirtûka Dapîra Pug ya Peravan çû lêgerînê .	Dapîra Pugî wexto ke a seba yew çapê neweyî yê Kitabê Plajan yê Dapîra Pugî cigêrayîş kerdêne, qutîya xo ya werdişî plaj de verdabi	Standard		Kurdish	MO	
It looks very heavy Pug.	Ew pir giran dixuye.	A zaf girae asena Pug.	Standard		Kurdish	MO	
Night is really just a different kind of day.	Şev bi rastî ji rojê gelekî cudatir e.	Şewe rasta zî rojî ra zaf cîya yo.	Standard		Kurdish	MO	
Someone who tells me which way togo so I'm not beaten by my rotten rival.	Divê kesek ji bo ku ez li hember reqîba xwe têk neçim tu rê nîşanî min bide.	Yew kes o ke mi ra vano ez kamcîn hetî ra şêra û bêra ke reqîbê mi zorê mi nêbero.	Standard		Kurdish	MO	
A treasure chest!	Sindoqa Xezînayê!	Yew sindoqa Xezîna!	Standard		Kurdish	MO	
Bow-wowzer. I ve had an idea!	Li vê ecêbê! Aqilek hate min!	Hela na ecêbe.. Yew fikrê mi est o!	Standard		Kurdish	MO	
Yip! You didn t tell me this was a scary story!	Wîîî! Te ji min ra negot ku ev çîrokeka tirsnak e!	wîî! To mi rê nêva ke na yew hîkayeya tersnok a!	Standard		Kurdish	MO	
Tell me about it.	Her wisa ye!	Eynî wina yo!	Standard		Kurdish	MO	
Why are you riding an ant, GrannyPug?	Tu çima li morîyê siwar î, Dapîra Pug?	Ti çira yew morcelaya ser de şina Dapîra Pug?	Standard		Kurdish	MO	
My biscuits!	Biskiwîtên min!	Biskuwîtê mi!	Standard		Kurdish	MO	
They must wait till we re asleep before they start!	Belkî piştî ku em di xew ra diçûn ew dibûn heval!	Belkî ê pawenê heta ke ma rakewê, dima dest bi embazîye kenê!	Standard		Kurdish	MO	
Hmm. Someone doesn t sound happy. Ismell an intriguing situation. This way, Pug.	Himm. Wisa dixuye ku yek ne şad e. Ez bêhna rewşeka ecêb dikim. Di vir ra, Pug.	Hmm. Aseno ke kesêk keyf nêkeno. Ez boya yew rewşa enteresane gêna. Nê hetî ra, Pug.	Standard		Kurdish	MO	
To the wheely ladder Dog?	Em herin ser nêrdewanê, Seg?	Ma şirê nêrdîwane ser o, Kutik?	Standard		Kurdish	MO	
Dog, the naughty bookshop mice keep laughing at me.	Seg, mişkên pirtûkxaneyê bi min dikenin.	Kutik, merreyê kitabxaneyî yê xirabînî tim bi mi huyênê.	Standard		Kurdish	MO	
How curious.	Pir ecêb e.	Hela na ecêbe.	Standard		Kurdish	MO	
A-and it doesn t like us very much!	Û ev dinya gelekî ji me hez nake!	Û-û na dinya ma ra zaf hes nêkenaaaa!	Standard		Kurdish	MO	
If we had our head torches it wouldbe much easier to find them.	Eger fenerên me hebûna, me dê fenerên xwe bi hêsanî bidîtina.	Eke fenerê ma yê sereyî bibîyêne, ma do hîna rehet bieşkayêne înan bivînê.	Standard		Kurdish	MO	
No... your majesty!	Na… majesteyê min!	Ney... qralê mi!	Standard		Kurdish	MO	
He s implausible... impossible... incredible.	Ew yekî ecêb e… nedîtî ye… newaze ye.	O bawernêkerdox o... mumkin nîyo... bawernêbîyayox o.	Standard		Kurdish	MO	
Oh. I do have a book that can answer that question!	(kenîn) Li ba min pirtûkek heye ku bersiva wê pirsê bide.	(huyayîş) Yew kitabê mi est o ke şêno cewabê na perse bido!	Standard		Kurdish	MO	
Don t you want to be quiet for the rest of the day Dog?	Ma tu naxwazî îro hinekî aram û bêdeng bî, Seg?	Qey ti nêwazenî ewro biney bêveng û aram bibî Kutik?	Standard		Kurdish	MO	
Bravo!	Bravo!	Aferin!	Standard		Kurdish	MO	
What an excellent time to practicean emergency stop, Pug.	Ev çi demeka baş e ji bo ceribandina rawest îna acîl, Pug.	No seba ceribnayîşê “vindarnayîşê acîl”î çi wextêko weş o, Pug.	Standard		Kurdish	MO	
Amazing Grace!	Her bijî, Greys!	biciwîîî! Grace!	Standard		Kurdish	MO	
To the wheely ladder Pug.	Em herin ser nêrdewanê, Pug.	Ma şirê nêrdîwane ser, Pug.	Standard		Kurdish	MO	
Is THIS the kind of place you d like have a holiday?	We dixwast ku li cihekê wisa betlaneyê bikin, ne?	Şima waştêne nê tewir cayêkî de tehtîl bikerê ney?	Standard		Kurdish	MO	
So have I.	Yê min jî.	Mi zî.	Standard		Kurdish	MO	
Really? Gosh! Perhaps I will.	Bi rastî? Erê! Ez dikarim.	Raşt a? eyya! Belkî ez bikera.	Standard		Kurdish	MO	
When Dogstar Two is alive I will play games like this with it all the time.	Dema ku Segstêr Du zindî bû, ez dê bi wî ra hertim lîstikên weha bilîzim.	Wexto ke Kutikstare Di ganî bî, ez do hertim kayanê winayênan ey de kay bika.	Standard		Kurdish	MO	
Not only is my smileremarkable...the rest of me is too!	Ne bi tenê kenê min pir rind e… her tiştê min rind e!	Tena huyadayîşê mi rind nîyo... ez bi xo zaf rind a!	Standard		Kurdish	MO	
You re far away!	Tu pir dûr î!	Şima zaf dûrî de yê!	Standard		Kurdish	MO	
I can see another something.	Ez li wir tiştekê din dibînim.	Ez uca de çîyêko bîn vînena.	Standard		Kurdish	MO	
You re very welcome to some of these bamboo stems.	Tu dikarî van çiqilên bambûyan ji bo vafirokê bi kar bînî.	Ti eşkenî nê gilanê bambuyan ra çend heban bigîrî.	Standard		Kurdish	MO	
Yes, please Pug - but it's hardwork.	Erê, fermo Pug – lê karekê giran e.	Eya, kerem ke Pug - la no karêko zehmet o.	Standard		Kurdish	MO	
The game is afoot.	Lîstikê dest pê kir.	Kay dest pêkerd.	Standard		Kurdish	MO	
Like what Dog?	Tiştekî çawa, Seg?	Mesela senî Kutik?	Standard		Kurdish	MO	
Are you having trouble saying things today Dog?	Qey tu îro nikarî bi xweşikî bipeyivî, Seg?	Qey ti ewro nêeşkenî weş qisey bikerî, Kutik?	Standard		Kurdish	MO	
But if you look over there...	Lê eger tu li dera hanê binêrî…	La eke ti biewnî ucayî ra...	Standard		Kurdish	MO	
You re my hero too!	Tu lehengê min î jî!	Ti qehremanê mi zî yî!	Standard		Kurdish	MO	
Them! Every day they try and cross this bridge! ... Look at the state of it!	Ew! Her roj ew hewl didin ku di ser pirê ra herin!... Ka li rewşa pirê binêrin!	Ê! Her roj ê wazenê ke nê pirdî ra bivîyarê!... Biewnî hela halê ey ra!	Standard		Kurdish	MO	
But most of all and best of all I love a book that is full of...	Lê herî zêde û ji her tiştî bêhtir ez ji pirtûkên tijî…	La tewr zaf û her çî ra zafêr ez kitabanê ke pir ê...	Standard		Kurdish	MO	
Hello. I'm Dog and...	Silav. Ez Seg im û...	Merheba. Ez Kutik a û...	Standard		Kurdish	MO	
Right. Ooh. Here, little rabbits! I'm a carrot.	Belê. (hilm girtin) (bêhneka kûr) Werin, kîvroşkino! Ez gêzer im.	Temam. Ooh. (nîda), hargûşê qijî! Ez yew gizêr a	Standard		Kurdish	MO	
There is no ice cream van Pug.	Li vir best enîfiroş tune ye, Pug.	Tîya de ereba qeşaşitî çin a Pug.	Standard		Kurdish	MO	
And so I bid you farewell, seekers of the odd and unexplainable.	Lê aniha bi xatirê we, lêgerên tiştên ecêb û neravekirî.	Û wina ez şima ra xatir wazena, gêrayoxê çîyanê ecêban û îzahnêbîyayeyan.	Standard		Kurdish	MO	
No, there s only spare rope andspecial shoes for walking on the snow.	Na, li vir bi tenê werîs û pêlavên ji bo meşa li ser berfê hene.	Ney, tîya de tena yew resne û citê solê vewre ser o gêrayîşî est ê.	Standard		Kurdish	MO	
Bring it over here and we ll share the sandwiches together.	Nexwe wê bînin vî alî û em dê sandwîçan parve bikin.	Bîyarê tîya û ma do sandwîçan pîya par bikerê û xo rê biwerê.	Standard		Kurdish	MO	
Well, there was a place once...when I was a puppy.	Baş e, demekê cihek hebû… dema ku ez cewrik bûm.	Baş o, wextê wextan de cayêk bî... wexto ke ez cewrikêk bîya.	Standard		Kurdish	MO	
Ooh. I love hot dogs, evenmore than I love pizza.	Ooo! Sosîs xweş in. Ew ji pîzza jî xweştir in.	Ooo! Ez sosîsan ra hes kena, pîzza ra zî zêdeyêr.	Standard		Kurdish	MO	
And six...and seven.	Û şeş…û heft.	Û şeş... û hewt.	Standard		Kurdish	MO	
Ready, Dog?	Tu amade yî?	Ti amade yî, Kutik?	Standard		Kurdish	MO	
And a magical wand! Double wow-zer!	Û darikekê bisêhr! Li vê ecêba mezin!	Û yew çuwaya sêhrêne! Ecêba di qatî!	Standard		Kurdish	MO	
Please don t judge her too harshlyWitch Hazel. She wouldn t have fallen from the sky if we hadn t dropped in.	Wîlowê sûcdar neke, Cadûkar Heyzil. Eger em bi ser wê da neketina, ew dê ji asmanan neketîya xwarê.	keremê xo ra aye sucdar meke Cadû Hazel. Eke ma nêkewtêne aye ser, a do asmênî ra nêkewtêne war.	Standard		Kurdish	MO	
SNARK! SNARK! Come out and let me hunt you!	Segmar! Segmar! Derkeve da ku ez te bigirim!	Kerga Misirî ! Kerga Misirî ! Bivejî ke ez to bitepîşa!	Standard		Kurdish	MO	
I miss it being dark Dog.	Min bêrîya tarîyê kir, Seg.	Mi bîrîya tarîye kerde Kutik.	Standard		Kurdish	MO	
I'm ready Dog.	Ez amade me.	Ez amade ya Kutik.	Standard		Kurdish	MO	
She can t say that Dog. You saythat.	Ew ne gotina wê ye, Seg. Gotina te ye.	A nêşena naye vaja Kutik. Ti naye vanî.	Standard		Kurdish	MO	
Erm How do you do? I am Dog and this is Pug.	Hii! Tu çawa yî? Ez Seg im û ev jî Pug e.	Ehm Ti senîn î? Ez Kutik a û no zî Pug o.	Standard		Kurdish	MO	
Go for it, Pug!	Tu baş diçî, Pug!	Bike Pug!	Standard		Kurdish	MO	
How curious.	Pir balkêş e.	Çiqas balkêş o.	Standard		Kurdish	MO	
By Louise Yates.	Nivîskar Luîs Yets e.	Nuştox Louise Yates ra.	Standard		Kurdish	MO	
It's alright for the bookshop mice.They re not afraid of spiders. They have a spider for a friend.	Lê qet ne xema mişkên pirtûkxaneyê ye. Ew ji pîrikan natirsin. Ew bi pîrikekê ra hevaltîyê dikin.	Merreyanê kitabxaneyî rê problem çin o. Ê pîrikan ra nêtersenê. Pirîkêk embazê înan o.	Standard		Kurdish	MO	
Come and get your lovely juicy leaf-	De were û pela xwe ya xweş bigire. De bigire!	Bê û pelê xo yê weş û awedare bigî-	Standard		Kurdish	MO	
