source	reference	translation
ز هو در مۉرڌ سلومتؽس پور کرڌن.	they asked him after his health	They filled the gaps between the two dogs.
تا ز نۊ ری تَلایل وارگه خوت واسی و نیاز گپؽ تو نه درگره.	until you stand once more on the borders of your land, and dire need is on you.	to prevent the recurrence of the recurrence of the unwanted and necessary turnings of the brain.
هونوݩ ره بوردن که وا در مۉرڌ واقعیتل صحوت کونن.	they found they must talk of the actual.	to be able to communicate between space and reality.
وا یو که گشت رۊز نه پیاڌ رئڌوم بی.	though I had been on foot all day	That was totally what I meant to do all day.
وا غِیز ز مؽنجا سالۊن رقص گوڌشت و من جماعت نادیار وۉبی.	stormed off across the dance floor, disappearing into the crowd.	The grief-stricken groaning began on the dance, and I was rendered dumb.
بعڌس، سه کرت در خرد.	then turn around three times	he threw away the leaf that he had picked so peevishly
ڤه دین شوم، خۉ خۊؤی بوردس.	fell sound asleep after dinner.	I forgot it, and left it there.
پنج براڤر کشتی‌یلکه سوئڌن یا غرق وابیڌن.	five times as many ships burnt or sunk.	five shipwrecked or drowning.
ڤه راسی یو دؽندا داستان مونه.	properly speaking that's the end of my story.	It's a straightforward bridge to the end of the story.
هر طئر پیل داڌنی نه هو بخو نه وس پؽشنهاڌ دا.	offering him whatever payment he pleased.	pilfered to him every evening.
مَهَت مو مڌین و مو نه هیاری مکونؽن.	give me no aid or succour	my fault! and my fault!
اوسو سی اؽما دفری هڌه سی تیفتلوݩ.	that will be our time for exploring.	then we had shoved off and given way.
اؽسا فقط اوسو که مۉضۊع غلوه مهوم بۊ ترؽن حرف مو نه بڤورؽن.	you may interrupt me only if it is very urgent.	so that the very best part of my story could be told.
هرگش نؽترست من عورم اؽسا دوروئس تنظیم وۉبۊ.	it could never be set right in your lifetime.	I could no longer be in doubt about that.
هو جواڤ داڌ، من هموݩ حاله‌یی که ریس بؽ حرکت و جۊر مرمر منده بی.	he replied, maintaining a marble immobility of feature.	"He replied, ""I'm in a situation where I can't move faster than I should have."
گاشڌ مجبۊر وۉبۊم که ز شَئر روم	I may be obliged to leave the town.	I might have to go hunting somewhere else.
وا یه پرزؽ تَئلی غارنؽڌوم.	I cried with some bitterness.	I asked a very interesting question.
فقط وا هو مند بی ولؽ هرگش در مۉرڌ عشق وا هو صحوت نکرڌ بی.	remained alone with her, but had never spoken to her of love.	He had only had the management of one end of it, and never had the heart to say any thing about it.
من بڌه بئسون وا آڌوم‌یل تمرؽنوم کم وابیڌه.	I'm out of practice with the whole human thing.	I thought the training was a little bit boring.
یه‌ناگه خشمناک وابیڌوم.	I was suddenly furious	I realized with a shock.
چند صڌا وا یک شرۊع کرڌن ڤه جواڤ داڌن ڤه مترجم.	several voices at once began answering the interpreter.	I translated the whole story in a tone between jest and earnest.
ٱر بۉم هو نه دلخر کرڌ بی.	if my father had offended him	If we had made him feel anything,
مو وا اؽسا ایام سی شوم.	I will come to supper with you.	I shall be about to have been studying it.
خلاصه، منظۊروم گشت چی‌یلؽ هڌه که تری وایه‌سوݩ نه کونؽ.	in short, my meaning is everything you could desire.	I mean, everything just went back the way it was.
بسا هو نڌاشته بۊ.	perhaps she had not.	he might not have been.
وایه‌مندوم که نوفتس نشکئسه بۊ.	hope it broke his nose	I thought he was unwilling.
درجا واسا و دی نڤَرباخت.	giving up at once her gentle dancing movement	He pushed the door and opened it.
بلتا راز مو سی همؽشه یه ماما بمئنه.	mine may remain forever a mystery.	But my secret is always a mystery.
وارسی إنکانات و شرایط مندن مؽن مئمون‌هونه.	the accommodation of the inn inquired into	I'm in a lot of pain that I don't want to say.
هو دیڌ که پیرمرڌ هی وا بؽ‌قراری هی إره او لا و ایا ئی لا.	he found the old gentleman walking to and fro in restless anxiety.	he saw that old man is as surly as a dog.
تی خوم إگوم که کسؽ وا شۉ و رۊ وا هو بۊ.	I have an idea that someone will have to be with him day and night.	I tell you the truth when I'm not with you.
مو ڤه ویروم ایا و واقعا غلوه خورڤَئت بیڌوم.	I recollect and was very happy indeed.	I've been thinking about it and really, I've been thinking about it.
سیکه هو ز گوڌشته دونئس.	for he knew of old	he thought, and stopped short.
ولؽ، ٱلڤت هو تی خوس إگو که مو ئی کار نه کردومه.	but, of course, he believes I did it.	But you say the truth when I'm doing this.
ڤه دیندا چیؽ نرئڌ.	looked no farther.	He didn't see anything.
که هو نڌا نه یَشنؽد.	that she did not hear the appeal	that he had never known.
وا رنڳ ری بالا، لۉئل سوئر، پۊشن موڌ رۊز و سڤیلل.	with a high colour, red lips, fashionably dressed, and moustaches.	in spite of her very slight weight gain she began to suffer badly from too much fluid in the tissues of her body
هو، نه فقط شرایط نۊ نه قڤۊل کرڌ.	he not only accepted the new conditions	he, perhaps it was only to circumstance the circumstance that
ره‌یؽ سی گوروئڌن.	some way of escape	They're gonna have to go back to bed.
ڤه ویرت بۊ که ٱساسل ئی هومسا اینگل مونن.	remember _this_ neighbour's goods are mine.	had been telling him that the principles of the art were so well established
هو هرگش چی‌یلؽ چی یونوݩ نه ٱنجوم نؽڌا.	he'd do nothin' of the sort.	he would hardly have borne them from another man.
ولؽ ڤه دین بئسه وابیڌن، چن دقه ایا ڤه تاق سر إزنه.	but will drop around to the room for a few minutes right after closing.	but they stopped looking at each other, this way and that, and very soon were sleeping.
ٱخوم پیاڌه‌روی کونوم، نتروم اؽچو بشینوم.	I want a walk. I can't stand this sitting about.	I'm going to have to lean on my man, and then I don't know where he's going.
ها، هنؽ تورؽ ز هو نؽڤینوم	yes no trace of him yet I see.	I don't see any point in troubling them further.
گمونوم مر إگوی وا او آڌوم بؽ‌عرضه خش إگوڌردنؽ؟	I suppose you think you'll be enjoying yourself with that oaf?	I think I've been thinking about putting that just here?
چه چیؽ کمتر ناراحت کوننده بی؟؟	what was little less uncomfortable	What was less annoying to him?
خشحال بیڌوم اوسو که همه چی تموم وابیڌ.	I was glad when it was all over.	I was glad to get out of it.
بایی گپسه ٱڤورڌ ڤه لم و هو نه ڤه دوئڌر ونڳ پؽشنهاڌ داڌ.	lowering his big arm he offered it to the slender little girl.	somehow made her usually soft voice heard above the tumult.
مثلا فقط ڤه ئی تفیل که هو مؽن کارهونه کار إکرڌ.	for instance, just because she worked in the mill.	such as the mere irresponsible venture of his hand.
مرگ یه دۊس و جشن نوقره‌یی یکؽ ز شاگرڌل دونسمند.	the death of a friend and the silver anniversary of an eminent pupil.	I heard the death of a prince and celebrated his birthday.
ولؽ هو‌ نه قشنڳ سرهال کونؽن که‌ مو چه منظۊرؽ داروم.	but make him understand what I mean, in the properest way.	but they had the goodness to satisfy me as to this dreadful riot.
یه پاره‌یی ز اؽسا نها یو که کلاس تموم وابۊ، إبینین.	some of you will see before the end of the class.	You'll see a few of the bloodsuckers that will gradually become more skilled in fashion.
یه شیشه و گؽلاس کوچیر اوچو إجۊرین، درجا بیارؽنسوݩ ڤه در.	take out a little phial and a little glass you will find there, quick!	a small box of ours under his arm
ولؽ سیکه پورؽ موهم نؽڌ.	but as it is of no great consequence	But it didn't leave me feeling the unpleasant consequences of that secret.
فقط همیو بی	that was all.	It's just been that way.
زیتر یا دیرتر وا ڤه حقؽقت رسؽم.	sooner or later we must come upon the right.	I'll get up late or late.
سی که ڤه گوڌه وابیڌه.	since I have been told	'Cause he had to remember he said.
ئی پیرمرد خش‌ڤرخورد همؽشه سلومت خۊؤؽ داشته.	this jovial old man had always had good health.	This old man may have fainted and had a miscarriage.
که ز ته تصقیر هو نبیڌه.	which had not been in any degree her own fault	that he had neglected to testify.
سیکه ز بون دل نازوک بی.	for she was naturally tender hearted.	The grief-stricken groaning began on the body.
زؽرس، دورو واپۊشنده‌یه.	the lie lurks beneath it.	pushed her a little way from him
وا قوریَتؽ زئله‌درکوننده، دئس پیا نه وند ری شوݩ راسس.	with terrible strength he drew the man's arm over his right shoulder	And he stood in the midst of his saddle, and took hold of the saddle.
ڤه ویروم ایا ولؽ ڤه سختؽ هۊش وندوم ڤس.	I remember that, but it was hardly noticed.	I remembered once, it's May's birthday.
که نهاتر ڤه راحتؽ ز هۊشس گپ إریسست ڤه در.	which formerly sprang so fluently from her ready wit.	who had come out of his room with great despair
یعنؽ سی یو که هونوݩ نه واڌار کونه که وا شڌت بؽشتری هو نه بنویسن.	for then, to make them write for it more pressingly	A woman with a veil on her face to hide her face.
ولؽ تی خوم‌ إگوڌوم که تئنا یه نکته هڌه که واقعا ٱئمیت داره.	but I felt that there was only one point which really signified.	but you have had the incivility to call me a beggar.
هو مؽن تخت‌‌خۉ داس بی.	he was in his mother' s bed.	He was lying on his bed.
گاشڌ، دو تا سه هزار کس سی خاطر ئی آگهی تڤلیغاتی یوفتن ڤه ره.	maybe two three thousan' folks gets movin' account a this here han'bill.	Maybe there's two or three thousand of people who're thinking about it.
سی رئڌن ڤه بال سزاس.	to go to his punishment	have been telling me what forces are being collected against them!
کۊچنو مؽره‌یلسوݩ وا یک دۊس اؽبیڌن و چندؽ خوروئت بؽڌن.	how their husbands would be friends, and how happy they would be.	somehow made her usually soft voice heard above the tumult.
چن نوکته هڌه که وا مطرحسوݩ کونوم	I have a few points to make.	so you may ask me why I'm not using them
ایسو اعتقاڌلومه سیت گوڌوم	now you have my profession of faith.	I thought you were all dated up.
چنوݩ خل بی که إگوی.	so crooked it looked	so profound was the sensation that he could tell
هومبار و و آروم ز یه جا دئس ڤه یه جا دئس دیه	moving with great deliberation from one hold to the next.	He got up and went to Shame's room before he went down.
گشت ٱنجومس داڌوم	I did it all.	I gave it all.
هو ز ته نؽ‌وابیڌ که ڤه نئر یه عابڌ بڤینی.	she looked very little like a devotee.	He didn't expect you to see a fox.
گوفت‌و‌لوفت ڤه بال کریکت کئشس.	the conversation moved on to cricket.	he began to purr.
مۉسڤی که هونوݩ رئڌن بی.	when they had departed	the chances that may come to us on the way.
مو چیؽ غیر ز محبت و مئر ز هو ڤه خوم نَیڌوم.	I have seen nothing but kindness and affection from her towards myself.	I have done nothing but love and love for him.
آسؽ تا ایسو هوندا حرفل هو خشمناک وابیڌومه؟	did I ever get so angry as over his words.	should I have been even more sorry than I should have said?
هونوݩ وا یه ساعت نهاتر مؽن ره بیڌنه.	they should have been on the trail an hour gone.	they were delayed an hour until they were over an hour
همسو که هو مؽن کاڤین بی.	when she was in the cabin,	the same way he was in the cabin.
ولؽ کاری ز دئس مو نؽڤورا.	but I can't help it.	but all my own work was not well done.
وا ئی حال، همچنوݩ که قانون و کلیسا هو نه إبینن، گنه‌کار و مجرم هڌه.	yet nevertheless, as the law and thechurch see it, guilty of sin and crime.	Yet, as a man of virtue and good sense, he must be a criminal.
که چیؽ بؽشتر در مۉرڌ شجاعت نؽله.	which leaves nothing more to be said on the score of courage	That there is nothing worse than singing.
وا یو که اوشتهاس غلوه بی.	although her appetite was excellent.	seemed the black cloud from which the thunder had come.
هو نوݩ خیرده‌یل منده ز قاغوذ کۉتیسه ری هونوݩ پاشنؽڌ.	he sprinkled the crumbs from his sandwich paper over them	he drew back his neigbbour's son
ز سرما لرسست.	shivered with cold.	He was scared of the cold.
وا بگوم که هو سقاوتمند هڌه.	I must say hes generous.	to tell him that he was sick.
ولؽ هو هنی مؽن خطر گپؽ بی.	but that he was still in great danger.	but he was still in danger.
دوینا مؽن منج غلیظ إسپیڌؽ پیتناڌه وابیڌه بی.	the world was swaddled in a thick white ground fog	had been forced to wear loose pants
هونوݩ مو نه ڤه زۊر اوچو إواڌاشتن.	they would secure me by force.	they asked me why I screamed.
هر کارؽ نه که سۊڌس مؽنس نبیڌ نه ٱنجوم نؽڌا.	for any job of work where there wasn't valuable consideration to be gained.	So from all he had said, he couldn't help himself.
سی نشوݩ داڌن جاگه نجیڤ زاڌه‌یی هو، مؽن کشتی.	to denote his gentlemanly rank on board.	showing the extreme need for a place for him to lodge in
نؽخاسوم فضۊلی کونوم.	I wasn't gettin' nosy	I don't want to be weird.
نتروم بؽ نقاڤ روم ڤه در.	I can't go out otherwise than masked.	I can't help myself and I don't want to go into that room.
گیز و بوق إنیَروم ڤس.	I stare at her dazedly.	I'm sick of the sight of you.
ز ترو مو ڤه در هڌه.	it is past my power.	I've got the nerve to get out of this anyway.
اؽما چن دۉ یکه بۊسیڌیم.	we kissed one another over and over again	we had been looking for a way to do something for him
ڤه دین نزا شورگ، ڤوریستاڌوم.	I rose from the thanksgiving	I stole in on tiptoe.
هو رئڌ که ڤه دینس بگرده‌.	he went to look for him.	He sent to defend his religion.
مر‌إگوم که گاشڌ ٱحمقانه و اوشتبا بۊ.	I am feeling something which is perhaps foolish and wrong	I'm telling you, it might be weird and weird.
هؽشکوم‌ ز او صڌایل نه لازوم بیڌن.	not one of those noises was indispensable	I think the hospital needed extensive further training.
هو رڤه جاگه‌یی ری ڤه ری ده رسی.	he came out into an open place opposite the village	He got up and went to Shame's room before he went down.
پای إشنکندس که مؽن گچ بی، هوشک و سفت ز پؽشس زیڌه بی ڤه در.	her broken leg in its cast stuck out stiffly in front of her.	He heard from the goatherd that he was awake and had a fever.
ولؽ زی ڤوریستاڌ	but waked early	but he had swallowed his mouth.
ڤه همی زی‌یل بچه‌ڌار اؽبۊم	I'm going to have a baby.	I've always been in a relationship with children.
سیکه شؽوات نه ز اوچو بورڌن بی.	for the picture had been removed.	they had left the room several nights ago
تو وا قڤۊلس کونؽ.	you must accept it.	you will do him all the good that lies in your power.
جایؽ که هو حڌۊڌ ده ٱفسر و ژنرل جوئس.	where he found some ten officers and generals.	instead of his subordinates and generals.
هر کارؽ که لازوم هڌه سی تۊ ٱنجوم بڌین	do anything there is to do about the room.	you did all you needed to do.
ره بورڌوم‌ که لیسکل ٱفتۉ من آسموݩ پشک وابیڌه.	any more than the rising sun had rays.	I imagined it was like a cloak trailing in the sky.
نیازؽ نؽڌ ڤه زئله‌در وابیڌن	you needn't fear.	I don't need to get out of this anyway.
ز جریان هۊش و ٱنگۊش رفیقسوݩ پشیموݩ بؽڌن.	regretting their friend's flow of cleverness.	they forgot to hear about it, and their neighbors came to their rescue.
گۊڌوم‌ که وا رئڌن نه سه رۊ بڤنیم ڤه‌ تاخیر.	I said that we must put off going for three days	I told her that if we were delayed three days,
رئیس پوست ٱسپس نه بورڌ مؽن هۉش.	the postmaster turned his horse into the yard	He went to the chief of the police.
وختؽ که سیس سخت بی که باورس‌ کونه.	when he had found it difficult to believe that	While he can barely believe it.
وا یو‌ که رنڳشت درا هم دروَیڌ.	besides, the bell rang.	by virtue of the door keeper of the cemetery.
باعث قزب رۊح وابیڌن مو وابیڌ.	to my infinite terror,	It gave me a kiss to kiss my heart.
دلوم إخو‌ که ئی دۉربال‌ نه ڤس نشوݩ بڌوم.	I'd like to show her around.	I am sorry I have to get out of this anyway.
کارؽ نه ٱنجوم داڌوم‌‌ که سیس راس وابیڌوم بی.	I did the work I was fit for.	I gave the proofs and explanations of what he had said.
سی همیو، گوڌن نومس.	so the mention of his name	'Cause you don't have to say no.
هو خل وابیڌ و مؽن آشیه کیشک‌ره، یه باوینه کوهی ڤورڌاشت.	she stooped down and picked a wild camomile at the edge of the path.	He bent over and picked up the reins.
گشت شیت وابیڌوم بی.	I was perfectly bewildered.	I'd been thinking about it all the time.
خورڤئتوم‌ که ڤه ویروم ایا مۉسڤی نه که کالسکه ره وئس.	I am glad to recollect that when the carrier began to move	I told her I must remember that I was in the carriage.
اوسو، إگوی چیؽ بی که همه جا وا مو بی، دونی؟؟	then something seemed to go all over me, you know	So, do you think everyone was crazy?
موهم‌ نؽڌه که موجازات نه یاروم ڤه لم.	I don't care about lessening the sentence!	I'm not going anywhere with colorful ideas right now.
هو نه وا دسمال پارچه‌یی پای کرڌوم.	I wiped it with a lace handkerchief	I pulled the switch from my pocket.
تفره‌م یونه که هو نه حضۊری بڤینوم و چن نفر دیه نه هم داشته بۊم.	it is my plan to see him personally as well as to have some other people	I was hoping to meet him and see how he would do to me.
ولؽ بی هو که لڤاسلسه ز ورس دراره.	but without taking off her clothes.	But he had to steal his head.
دونوم که نیازؽ نؽڌه ڤه ٱنجوم داڌن ئی کار.	I know you need not	I know you don't need to go back and forth.
هو تره یه جائی سی خوس، مؽن کارهونه مؽروم بجۊره.	he can make a place for himself in my husband's factory.	He thinks he's going to have a job to do.
مؽن ئی دوینا نیبۊ که آڌوم گشت خورڤئت بۊ.	one cannot be completely happy in this world!	I would have been in this world not to have been wholly devoted.
ٱر اجازه بڌین که بگوم‌ یا تاحتی اؽسا دۊس عزیز	if you allow me to say so or yet yours.	if you let me know, dear indeed.
چار کس ترستن بی که خۊ خو‌ نه مؽن دفاع اؽما جا کونن.	four had made good their footing inside our defences	they had the goodness to defend themselves against us.
درجا یَشنؽم.	I instantly recognized	I've been looking for this myself.
هنی تروم صڌاسه مؽن مزگوم بیَشنوم.	I can still hear his voice in my mind.	I heard a thumping sound from my friend again.
إگو که سی اؽسا مڌرکل هر کوم ز‌ هونوݩ نه یاره.	will, produce before you substantiations of every one of them.	if ever that solitary superlative existed
وا حالوم خۊ بۊئه.	I should feel well	I'm doing well.
مو تا اۊچه که دَسوم إره هیاریس إڌوم.	I will help him as much as I can.	I've got all my faculties as well as ever I had in my life.
ایسا وا واسین ڤۉلا اۊسه هو اؽتره واس آشنا بۊ.	you all would stick around for a while and he would have a chance to get to know her.	She introduced him to the piano.
شۉقس ز مؽݩ رَئڌ.	lost his temper	the sun still low
بورؽ ز کلمه‌یل چی یکه ز دین یک اگوڌ.	the same words over and over	so saying the word 'of a deed,' conveyed to the door keeper of the cemetery.
ٱر دس دس کونه.	that if he faltered	Twelve times higher than one of them.
بورگاسه بورد وارو.	then he raises his eyebrows.	he was unwilling to leave it untranslated
بَخت و هات ز دین یک وس ری اکونه.	he should have a run of luck	He got stuck in one of the doors and sat down and then he leaned over the other side of the table.
اۊسه دَنڳسه بورد وارو.	then raising her voice	He held his breath.
هو سنس گفدر ز یو نه که ز ئی چیائو دلکز بۊ.	why, she is too old for such pettishness.	he felt the pulse of his heart which hung from something.
مو کسؽ نؽڌوم که ز هومالی بگرۊسوم.	I'm not one for running away from a challenge.	I had no choice but to get out of this anyway.
هم اومشۉ ز شَئر بکونی‌ وه در.	I want you to get out of this town.	in hopes to improve his mood.
صاف سِیل نها کردوم.	I looked straight ahead.	I asked, my voice a little too curious.
هؽشگه نه متهم مکونین.	so as to throw no blame on any one.	you shall not leave me in that temper.
سی نیَشتن وصیت‌نومه اصرار داروم.	I insist on seeing the will.	I'm going to make a passably good will.
کوتؽ ڤۉلا تر هم اؽڤورؽستیم	now raising myself up again	I stepped over the great western coat.
خوس ز دین مو اۊڤِیڌ وی	where he looked me up	I've got all my faculties as well as ever I had in my life.
سر مو نه کرد وه قَپ	got my head into his mouth.	I covered my head.
مو هم زمندؽ بزنوم	I am left none the worse of it	I'll ask you to sit down.
اما سردیارَل مؽن تارکی خۊ دیار نویڌن	as for the men	but they had neglected to keep their secret in their hearts.
هردتوݩ ویردار بۊین که ز نۊ مزاحم مو نبۊین.	take care, both of you, how you worry me again for nothing.	you were so careful not to disturb me.
گاشڌ حق وا هو وی	that perhaps he was right.	Maybe it was a bit boring.
ٱلوَت گاشڌم مو اٛشتوا کرده بۊم	unless I'm greatly in error.	I may have disobeyed it.
یه ستم و صڌ کار خۊ	a solitary wrongdoing and hundreds of good deeds!	A job full of rusty old face.
رَئڌن بال گلاله بپائن	went off to guard the river bank	they rose as soon as day dawned.
هر چه بۊ هونه پیسنیڌه وی	the house was ramshackle after all	So from all he said,
دلشاڌ ویم که هو زنڳ زیڌه	I was glad she had rung up	He wanted to tell me he was a lady.
وا هؽ که خوس مؽن رۉگه مو نه دی	heard of or saw this.	that you may see how rational I am grown.
فره واس خَش گذشت	he had a very good time.	It was so long since.
هر سا بتریم وایک هومقسه بۊیم	if we can come to terms	I can't do just as I want to here.
راننده ز بؽرین پرده سر کشی وه بشن عقڤ	the cabbie poked his nose through the screen into the rear compartment.	He covered his head and listened carefully.
پای بؽهترین جومه‌سونه کردن وی وه ور	all dressed in their best.	taking him off on tiptoe.
هو نه بوردن وابا خو	to engulf himself with her.	He was carrying it away.
وس گوڌوم کس دونڳ واس نؽڌه	I replied that she would not be harmed.	I told her she wasn't there.
مو ز ایسا نؽ‌خوم که نها هؽ نه بیِرین، بلام زتوݩ ایخوم که ز ۊیر مبرینس	I don't expect you to stop it, but I do expect you to remember it!	I'm not at liberty to discuss my patients, but I must remember that I'm going to have to expel as many of you as possible as soon as possible.
که هم خلاس نکرده	the end of which is still in suspense	which had never prospered either in his hands or in those of his mother
زیتر اٛطلاعاتؽ دباره‌س وه دس آوردم وی	I had heard of it before.	I slapped him in the face with my free hand.
مَنی ئی بختو هم واس یار نوی	though there seemed no chance	not to be wholly without prospect of a meeting.
ز پوپ سر تا داون پاسونه ٱرس شَم گرؽ وی	smeared from head to foot with tallow drippings	From the top of the papa's head to the bottom of the pavement.
وا غلوڤه ٱذیتت کرده بۊم	I must have hurt you very much.	I'd given her a kiss.
پای سقف شؽ ویڌ بی	the ceiling blackened.	He was on the roof.
داون اۊ ٱفتاو تون سعت سه دم پسیݩ	burning under the infernal three o' clock sun	then going down she went into the room where the icons hung
دؽ نهنڳ وی که جنڳ ببوره	it wasn't long before the war was over	than to lead one to love thee who abhors thee now.
که دلیل خو کوشی هو چه ویڌه؟	if anyone knew the reason for the suicide.	That's why he wanted to drink water?
دس کم تِئنائی سی تو هم چن مونؽ لیشه	solitude is at least as bad for you as it is for me.	your own happiness is much less than that of any dog.
وه تشنِی و گوشنِی و گرما و لوئر	in hunger and thirst, cold and heat,	He was alert and alert and went upstairs.
زنجیل بلاجیمیؽ که هرچه نه وه چی دیرؽ اؽڌیسنه	the mysterious chain that links one thing to another,	a chain of men, held together, long since they were so late.
ئی پیائو هم چن مونؽ ز گئوم بڌس ایاوه	hated his brother with a hatred as strong as mine.	This man is in my turn bitten by the serpent whose tortuous course
جوݩڌار ویردارؽ نؽ که هؽ نه نِزمِیڌه بۊ	there is no living being who has not done it.	cannot help imagining that he had neglected to testify
وا هَرده دَسس ڤِیلا ڤۉلا سویلسه گرؽ و پؽت دا	with his elbows raised squarely, he twisted both ends of his flaming moustaches	He got up and went to the villa.
هم چن دقؽقه نرَئ وی که هۉال پؽچس	WITHIN a few minutes the news had spread	not so long since he had fully recovered his good opinion.
وانومنؽگارل خۊئؽ داشتن و کم و کَرسؽ نوی	with proper masters, and could want nothing more.	they had a mind of iron and steel and milk poison.
هرگش نمیڌوم وی ری شخص راسیؽ کلیت کنی	I've never seen you obsess over a real person.	I never asked him to do anything about it.
سی همؽشه بَستس	she lost no time in putting a stop to it.	'Cause he's always been in a relationship with her.
ایسخ ٱر ئی دۉلمَن رۊزؽ دَس پتی ویڌه	if the said rich man was once on a time poor	He was forced to wear loose pants for the rest of his life.
ڤورگردین وه دومن ویر آزا	return to the bosom of common sense	You'll have to go back to her room.
دؽ وه ئی چیائو فرگ نؽکونم	she would not think about them	I don't think I could think of it any more.
راسس چونوݩ هم خومه رنڳیݩ نکردم	I mean, I haven't really made much effort	I have argued it myself.
اۉرِیم رَئ!	it's just been such a shock.	I'm running a fever!
هو هم رَئ و دره نها	he went out, closing the door after hiM	He's back and forth.
وا ئی همه زس عذرخهی نکم	I didn't ask her forgiveness.	I'm not going anywhere with excuses.
تمه دارم که ز ڤورا بَئر خوم درام	I hope to do mine.	I hope I find my way out by blind luck.
ٱما غلوڤه تش تشۊ و بڌ گله	but of a morose and sour complexion.	But he swallowed his mouth and opened it.
رَئ بارت لاش اڌوارد	he threw himself upon the body of the child	He took his place in the body.
باگ ناره ٱر ایخوی ڤورگردی وه فرۊشگه	I don't mind going back to the store.	she returned with the same unperturbed keenness of eye and the same high natural color.
تو هنه وا پیا دۉلمنؽ ایری وه در	you're going out to dinner with a multimillionaire.	You're looking for a way to get out of this guy.
دوئڌر بورگاسه وَن وارو	she knitted her brow	the front two clutching him tightly
هم دس کرد وه کوڤؽر نهاڌه	began another laugh.	He covered himself.
چی دنونؽ وَسته‌ وه در	stickin' out like a tooth.	walked into the room
پورسم کرد که سی رَئمه وه دیڌنس	asked me the object of my visit.	I asked if you'd seen me.
دره ز بؽری زوَرد بستوم	I bolted the door.	I tied it to the other side of his collar
جۊرؽ اۉرِی وَردا وی	but it left a sort of nagging uneasiness behind.	so insidious is the repetition of the hour of appointment for the following night
وا رۊڌون گپؽ که خۊ تربیت ویڌن وی	their children grown and well behaved	in obedience to the dog's head, trained and good.
دؽ چیؽ نه ز بنومی خو نگوڌوم	not mentioning a word of my disgrace	I didn't say any thing about it.
وا توم و تَئلی گوڌ حاضرم رایگان بڌَرنمس	I'd like to give it away, he added bitterly.	So you and I were willing to wait, and I was willing to wait.
چَن گوم ز دین مو اوڤیڌ	she took a few steps after me.	I rose as soon as day dawned.
ئی همه وخته، ایما هیچ هۉالؽ ز شۊرشکارون جوݩ وه دَر بورڌه نشنؽڌؽم	all this time we heard nothing of the three surviving mutineers.	We've never heard any fuss about what he's doing this whole time.
پای زونی زنین وه دۉرس	kneel down kneel round her	He got up on the divan.
یه وَختؽ وا ڤا هونونؽ که دلته زسوݩ دیری کنی یک بگری	you sometimes have to join forces with those you'd rather avoid.	And they got to the woodpile that was in front of my tree, and slipped in behind it, and so they had the bulge on the men again.
جائؽ که درؽ بارت پاگرد واز وی	where a door stood open onto the landing.	the place where the door was to be lawfully shut.
سی یه دموݩ مَنِستوم	I thought about that for a moment.	I've been looking for a woman.
هو ز سر پله‌یل وازگۊ کرد	he repeated from the steps.	He got up the ladder.
رک زِیڌ وه مرکس	leaned on his elbows	he suddenly fell asleep.
حتی پشۊئؽ هم نوی	not even a cat.	He doesn't even think about it.
دؽ چیؽ سی زفت کردݩ واسوݩ نوی	there was no longer anything to spare.	he threw away the leaf that he had picked so peevishly
تاته‌زاس ٱروَت مَند	the cousin staggered	the old man is as surly as a dog.
وا ئی حاله، جۊرؽ که تو خوَشت ایا	however, just as you like.	Yet, in its own way.
که ز گوشنِی رَئن وی وه نؽس	who had perished from hunger.	that he had not had time to dream anything.
بۊ خوم گرت لیله داغ مؽن هوا وی	the raw smell of hot dust was in the air.	I caught a little gasp in the air.
بِین وابایک یه دله شراو کوئنه ڤوراسنیم	let's go drink a bottle of old wine together.	Let's get out of this anyway and try to work up to it.
وه آنؽ پای چار تیه وین ڤور دوئڌرس	one's eye moved on quickly to her daughter	He leaned his foot against the jamb and listened carefully.
اما هرگش کسؽ ز هؽ واپؽش تر نؽره، سی که چی بؽشدرؽ سی گوڌݩ نؽ	but no one ever gets any further than that, for there is nothing more to say.	but no one came out of his wand to tell him what he had been telling him.
ز گورۊخڌن قوربونی تیارؽ اؽترسست	afraid of letting a ready victim escape	he was terrified of the sight of themselves.
دلکزی و رنج یه سالؽ که رَئ، نتَرِس وی هرنڳ پَئلڤونیسه بتۊزنه یا وه سخونل پورهرنڳس لَتمه بزنه	not in one year's space, by any sorrow, could his athletic strength be quelled or his vigorous prime blighted.	the heart of a married man now fully devoted to him
گؽلاس دیَرؽ سی خو پور کرد	poured out another glassful of brandy	filled the glass with a thin back mustache.
وا شرموندیی زیڌ سئرا.	he stomped out looking embarrassed.	feeling the unpleasant consequences of that secret
وؽرتوݩ وا کارؽ که کنؽن بۊ.	observe what you do.	And he returned to his job.
گوی ز تیکشت و دورونگشت خوسوݩ هم هۋف داشتن.	as if they were afraid to hear the sound of their own voices.	It's as if they've all climbed the same ladder.
گوی که هؽچ وقتؽ نگوڌشت بؽ.	like no time at all had passed.	as if there were no time to find out.
منه یه تۊ کۊچیر بیار وابؽم.	I woke up in a small room.	I should like to have been with you.
یهۉ قلبس وی به درد و ناخوش وابؽڌ.	suddenly her heart was sick.	his heart was in pain and sick.
مو ترستوم هر چیی نه تحمل کونوم.	I could have borne any thing.	I was afraid to bear it all.
مو تروم تو نه جۊر یه کتاؤ خونوم.	I can read you like a book.	I love you like a dog.
