en_sentence	fa_sentence	translation	variety (Western Gilaki|Eastern Gilaki)	county	orthography	translator	5420
said this least of women, trying to fold her short arms, and nodding her large head.	این موجود کوچک اندام و نیکو سعی کرد بازوهای کوچکش را بر سینه گذارد و بعد سر را تکان داد.	ان خوشکله کوچی اندامه موجود در حق و سعی بو خو کوچی بازویانه خو سینه سر بنه، بعدم خو سرا تکان بده	Western Gilaki	Rasht	Sarkhat	GAB	
as in war it is allowable and common to make use of wiles and stratagems to overcome the enemy	همان گونه که در جنگ بکار بردن خدعه و نیرنگ برای غلبه بر دشمن مباح و جایز است	هوتو کی جنگه جا مول بازی و فریب دئن، دوشمنه فائق آمونه مشکلی نیه و درسته کاره	Western Gilaki	Rasht	Sarkhat	GAB	
a healthy peasant of thirty and his young wife.	یک دهقان درشت هیکل نزدیک به سی ساله با زن جوانش.	ایته یاکا مرداک پیله هیکل نزدیک سی ساله خو جوانه‌زنه امرا	Western Gilaki	Rasht	Sarkhat	GAB	
I was able to establish the identity of the man and the woman	توانستم به هویت آن مرد و آن زن پی ببرم	بتانستم اون زناک و مرداکه بشناسم	Western Gilaki	Rasht	Sarkhat	GAB	
we shall not make an end of it this twelvemonth.	تا آخر سال نیز بحث ما تمام نخواهد شد.	امی بحث و گفتگو تا آخر سالم تومامه نیبه	Western Gilaki	Rasht	Sarkhat	GAB	
galloped along the front as hard as his horse could go, but still was not in time to avoid them.	تا آنجا که اسبش را یارای رفتن بود در امتداد صف سواران پیش تاخت ولی با این همه نتوانست به موقع از مقابلشان بگذرد.	تا جایی کی اونه اسب تانستی بشه، سوارکارانه صفه کنار تاخته زه، ولی ان قدر سعی بکود نتانست سر وقت اوشانه جلوجا ردّا به	Western Gilaki	Rasht	Sarkhat	GAB	
I never rode in one before.	چون تا حالا در عمرم سوار قطار نشده بودم.	چون می عمره جا تا هسا قطار سواره نبوسته بوم	Western Gilaki	Rasht	Sarkhat	GAB	
unless this rule about not complaining extends to the squires of knights errant also.	مشروط بر اینکه قانون منع ناله شامل حال مهتران پهلوانان سرگردان نشود.	به شرطی کی قانونه ایجگره نزئن پهلوانان و بزرگان و سرگردانه مستثنی بکنه	Western Gilaki	Rasht	Sarkhat	GAB	
I took advantage of the fire to cook them.	از این آتش برای پختن او نا استفاده کردم.	ان آتشه جه اوشانه پختنه ره ایستفاده بکودم	Western Gilaki	Rasht	Sarkhat	GAB	
as he was out of his senses.	چون او عقل خود را از دست داده است.	چون اون خودشه عقله از دست بده	Western Gilaki	Rasht	Sarkhat	GAB	
the conversation at once passed to the new subject of the education of women.	در این جا بحث به موضوع دیگری یعنی آموزش زنان کشیده شد.	ایا ده گفتگو عوضا بوست و به ایتا ده ماجرا فاکشه ببوست	Western Gilaki	Rasht	Sarkhat	GAB	
it is hard lines that we have not actually had the triumph of bringing him back as our own prisoner.	بداقبالی بزرگی بود که موفق نشدیم خودمان او را دستگیر کنیم و برگردانیم.	خیلی بدشانس بیم کی نتانستیم امان خودمان اونا دسگیر بکونیم و واگردانیم	Western Gilaki	Rasht	Sarkhat	GAB	
added a cup of instant coffee with a lot of cream and sugar	یک فنجان قهوه فوری با مقدار زیادی خامه وشکر به آن اضافه کرد.	ایتا استکان قهوه فوری کی خیلی خامه یو شکر اونا مخلوطه کوده	Western Gilaki	Rasht	Sarkhat	GAB	
with theprettiest little rosy face in the world.	زیباترین چهره گلگونی را که در دنیا ممکن است داشت.	اونه قیافه خیلی خوشکل بو هیکس دونیا جه اونا نمانستی گوله منستن بو	Western Gilaki	Rasht	Sarkhat	GAB	
throwing himself at full length upon the deck, grappled a ring bolt there	کف عرشه دراز به دراز افتاده به حلقه زن جر چنگ انداخته قسم خورده است	کشتی دماغه سر نارانار درازا کشه بو خو زنه انگوشتری حلقه یا چنگ تاوده یو قسم بخورده	Western Gilaki	Rasht	Sarkhat	GAB	
faded down to such a dull uniformity of parchment yellow	جملگی به تخته پوستی چنان زرد و یکدست بدل شده بود	کلا تبدیل ببوسته بو به ایتا زرده پوسته یکدست	Western Gilaki	Rasht	Sarkhat	GAB	
they were quiet, staring into the fire.	همه خاموش بودند چشمهاشان بر آتش دوخته شده بود	همه ساکت بید اوشانه چومانم آتشه حلقه بزه بو	Western Gilaki	Rasht	Sarkhat	GAB	
but on each occasion had been driven back by grapeshot from the four isolated guns on the hillock.	هر دو مرتبه نیز با رگبار چهار توپ مزبور مواجه شد و ناچار عقب نشست.	هر دوبار نی هون چهارتا جنگی توپه رگباره امره رودررو بوستید مجبور ببود عقب نشینی بکونید	Western Gilaki	Rasht	Sarkhat	GAB	
now tell me, which is the greater work, to bring a dead man to life or to kill a giant?	حال بفرمایید آیا کشتن دیو بیشتر صواب دارد یا زنده کردن مرده	اسا بگو ایتا غوله کوشتن بختره یا مورده یا زنده کودن	Western Gilaki	Rasht	Sarkhat	GAB	
I wallowed in that delusion so long I left it too late, too late!	من در این تصور آن قدر باقی ماندم که برای ترک کردنش دیگر کار از کار گذشته بود.	من ان فیکره درون اونقدر بئسام کی ده اونه ترکاکودنه ره دئرا بوسته بو	Western Gilaki	Rasht	Sarkhat	GAB	
but the timid, feeble face she had seen for the first time quite closely	بلکه آن چهره محجوب و ضعیف را مشاهده نمود	شایدم اون باحجب و حیایو کم طاقته قیافه بیده	Western Gilaki	Rasht	Sarkhat	GAB	
there in the centre lay the unhappy maid	در وسط آن محوطه جنازه دختر بینوا همان جا که از اسب فرو افتاده بود قرار داشت.	اون بدبخت دوختره ناش کی جی اسب بکفته بو هون محوطه وسط نهه بو	Western Gilaki	Rasht	Sarkhat	GAB	
or whether she was so full of the subject that she would have talked about it to the very twins	یا به قدری دلش پر بود که با این حدیث را ممکن بود هرکس در میان نهد.	یا اونقده دیلپوری داشتی کی مومکین بو ان ماجرایه هرکی ره بگه	Western Gilaki	Rasht	Sarkhat	GAB	
I won't cause her pain now.	من نم یخ وام حالا باعث درد و رنجش به شم	من نخوایم ده الان اونه ره درد و رنج و بدبختیا باعیث ببم	Western Gilaki	Rasht	Sarkhat	GAB	
yet that you should fall into a delusion so great	حیف که با این معلومات سو راح دعا را گم کرده	حیف کی انقده معلومات و اطلاعاته امره رایو چایه درست نانه	Western Gilaki	Rasht	Sarkhat	GAB	
took himself off on tiptoe.	آنگاه روی نوک پا از کنار بیمار دور شد.	بعدن پاتوک پاتوک جی مریضه ور دوارسته	Western Gilaki	Rasht	Sarkhat	GAB	
you will perceive the divine mystery in things.	در هر چیز سر الهی را درک خواهید یافت	هرچیا کی دینی راز خودائیا تانی بیافی	Western Gilaki	Rasht	Sarkhat	GAB	
she found the sidewalks just as crowded as they were at the height of the war	پیاده رو مثل سابق شلوغ و پر ازدحام بود.	پیاده رو عَین قدیم، شلوغ پلوغ بو	Western Gilaki	Rasht	Sarkhat	GAB	
I want to live for immortality, and I will accept no compromise.	من میل دارم عمر جاودانی بیابم و به راه حل دیگری تن نخواهم داد	من خوایم تا آخر دونیا زنده بئسم و به هیچ چی و هیچ راه حلی ده فیکر نکونم	Western Gilaki	Rasht	Sarkhat	GAB	
for he had remarked with particular attention the manner in which it had been told	وی با کنجکاوی تمام به شیوهی داستان سرایی راوی توجه کرد	اون نقّال ِ داستانگویی روشا کونجکاوی امره گوشاده	Western Gilaki	Rasht	Sarkhat	GAB	
was one with the babe whom she had loved	تبدیل به نوزادی گردید که مادر سخت به او عشق ورزیده بود	به ایتا طولفه زاکی تبدیل ببو کی مار اونا خیلی عاشقانه دوست داشتی	Western Gilaki	Rasht	Sarkhat	GAB	
that wouldn't do he wanted it with him where he could look at it	اومیخواست دفترچه همیشه پیش او باشد تا بتواند آنرا ببیند	اون خواستی دفترچه همیشه خودشه ورجا بمانه تا بتانه اونا بیدینه	Western Gilaki	Rasht	Sarkhat	GAB	
about 1925 in fact it even crossed my mind that I might have done so.	بلکه تا سال 1925 حتی به فکرم هم نرسید که باید چنین کاری بکنم.	حتی تا سال 1925 می عقلم نرسه کی وا اَ کاره اتو بکنم	Western Gilaki	Rasht	Sarkhat	GAB	
I hear her strange heart, he murmured with an almost musical lilt to his words.	با صدای موسیقی وار موزونی زمزمه کرد می تونم صدای ضربان عجیبش رو بشنوم.	ایتا خورمه قشنگه ساز و آوازه امره لبه کونی بخوانده، تانم اونه عجیب و غریبه ضربانه صدایا بیشتاوم	Western Gilaki	Rasht	Sarkhat	GAB	
they had stopped for lunch and heard weak cries coming from the south side of town.	برای ناهار توقف کردند و از قسمت جنوبی شهر صدای فریاد شنیدند.	ناهاره ره بئسایید و جه شهر ِ جنوبی طرف زاهاره صدا بیشناوستید	Western Gilaki	Rasht	Sarkhat	GAB	
the expression of his large brows softening	پدر سخت خشنود شد گره از ابروان انبوهش گشود	پئر خیلی خوشحاله بوست و اونه اخمان وابو	Western Gilaki	Rasht	Sarkhat	GAB	
you and me'll go to sea again.	من و تو باز هم با هم به دریا برویم.	من و تو ایواردنم کسکسه امره بیشیم دریا	Western Gilaki	Rasht	Sarkhat	GAB	
than never to have taken it at all.	در یر این صورت ممکن است هرگز برای تسخیر دمشق موفق نشویم.	اتو اگه ببه ممکنه هرگز نتانیم دمشقا بیگیریم	Western Gilaki	Rasht	Sarkhat	GAB	
I come back and look around the quiet office	برگشتم و به دفتر کار خلوت و بی سر و صدا نگاهی انداختم.	واگردستم و خلوت و بی سروصدا دفتره کاره چوم تاودام	Western Gilaki	Rasht	Sarkhat	GAB	
I haven't quite sorted out your stuff yet	البته هنوز چیزهای تو رو جمع و جور نکردم.	البته هنوز تی چیکچیا جمع و جورا نکودم	Western Gilaki	Rasht	Sarkhat	GAB	
I rang to tell you that.	من زنگ زدم تا این مطلب را به شما گوشزد کنم.	من زنگ بزئم تا ان چیزانا ترا بیشناوانم	Western Gilaki	Rasht	Sarkhat	GAB	
that you have come to pay the four pound ten I owe him.	چهار پوند و نیمی که من به او بدهکارم پرداخت کنی.	چهار پوند و نیمی کی من اونا قرضارم، تو فادی	Western Gilaki	Rasht	Sarkhat	GAB	
but was certain that it would be repeated at any moment.	بلکه اطمینان حاصل کرد که هر لحظه ممکن است تکرار شود.	بلکه مطمئنا بوسته کی هردقه شاید تیکرارا به	Western Gilaki	Rasht	Sarkhat	GAB	
I poked it out, and it ran under the bookcase.	من یک چیزی بهش زدم و اون زیر جاکتابی دوید	من ایچی اونا بزئم، اون بدوسته جاکیتابی جئر	Western Gilaki	Rasht	Sarkhat	GAB	
therefore I durst not so much as stop my nose.	از ای نرو جرأت نکردم که حتی بینی خود را بگیرم.	هنه واستی جورئت نکودم حتی می دوماغه بیگیرم	Western Gilaki	Rasht	Sarkhat	GAB	
I paced quietly in front of the house.	جلوی خانه به آرامی شروع به قدم زدن کردم.	خانه جلو یوایواش شروع بکودم به قدم زئن	Western Gilaki	Rasht	Sarkhat	GAB	
I don't want you to do anything you're not sure about.	نمی خوام کاری رو که ازش مطمئن نیستی انجام بدی	نخوایم اون کاریا کی اطمینان ناری بکنی	Western Gilaki	Rasht	Sarkhat	GAB	
5 upon her neck a rope of palm fiber	در گردنش طنابی است از لیف خرما	اونه گردنه جه ایته لافند دره کی اونه جنس جی خورما پوسته	Western Gilaki	Rasht	Sarkhat	GAB	
that one in my heart which he holds so firmly shall never be taken from him, unless he be willing to surrender it.	بر جان من نیز چنان حکمروا است که اگر خود نخواهد از آن بگذرد جان من تا ابد متعلق به او خواهد ماند.	می جانه اختیارایم جوری داره کی اگر خودشم نخوایه اونه جاخطرا ده می جان تا قیامت هونه شینه	Western Gilaki	Rasht	Sarkhat	GAB	
she and her husband both took the fever, and died within a few days of each other.	زیرا هم خودش و هم شوهرش به بیماری کاترین که هنوز حالش کاملاً خوب نشده بود مبتلا گردیدند و به فاصله چند روز یکی پس از دیگری از این دنیا رفتند!	چون هم خودش هم اونه مرد مریضی کاترین بیگیفته بود کی هنوز اونه حال بد بو گرفتاره بوسته بید، بعد چند روزه میانم هردوتا جی میان بوشه بید	Western Gilaki	Rasht	Sarkhat	GAB	
if she comes out, as I know she will, victorious from this struggle	حال اگر آن گونه که من انتظار دارم او در این نبرد پیروز بیرون آید	الان ده اگر اوتویی کی من خوایم اون ان جنگه جه ببره	Western Gilaki	Rasht	Sarkhat	GAB	
as this knotty point is still unsettled, and as we must not make a mistake in our decision if we can help it, I think we had better take a little breathing time.	چون هنوز این مسئله مشکل لاینحل مانده است و این عقده سرسخت هنوز باز نشده و چون ممکن است ما از عهده حل کردن آن بر نیاییم و اشتباه کنیم بهتر است تا مدتی از آن منصرف شویم.	چون هنوز ان مشکل حل نشدنی بمانسته و ان سخته عقده هنوزم بازا نبوسته و چون ممکنه امانم نتانیم اونا حل بکنیم و اشتباه بکنیم، بختره ایتا مدت دس بداریم	Western Gilaki	Rasht	Sarkhat	GAB	
I must remember how you said that.	باید به خاطر بسپارم چطور آن را ادا کرد.	وا مرا یاد ببه کی چوطو اونا ادا بکوده	Western Gilaki	Rasht	Sarkhat	GAB	
I thought I'd just quickly make something up.	فکر کردم فوری و فوتی چیزی سر هم کنم	فیکر بکودم سریع ایچی سرهم بکونم	Western Gilaki	Rasht	Sarkhat	GAB	
a chief of staff followed by a suite galloped up to him.	که یکی از افسران ستاد با ملتزمین رکابش به جانب او آمد	کی ایتا ستاده افسر خو خدم و حشمه امره بامو اونه طرف	Western Gilaki	Rasht	Sarkhat	GAB	
for we have our secret police department where private information is received.	ما نیز شعبهٔ مخصوصی داریم که کارش گرد آوردن اطلاعات است.	امانم ایته مخصوصه شعبه داریم کی اونه کار، اطلاعات جمعا کودنه	Western Gilaki	Rasht	Sarkhat	GAB	
I got up and offered her my seat in the arm chair.	من از جای خود برخاستم و صندلی را که روی آن نشسته بودم به او تعارف کردم.	من می جا جه ویریشتم و اون صندلی سر کی نیشته بوم اونا تعارف بکودم	Western Gilaki	Rasht	Sarkhat	GAB	
so that among us, it would be little esteemed.	به نحوی که این اهتمام در نظر ما ممکن است ناچیز جلوه کند.	جوری کی امی ان جوش و جلا ممکنه امی چومه ور چیزی به نظر نرسه	Western Gilaki	Rasht	Sarkhat	GAB	
she hid her distress too well.	او نیز پریشانیش را از دیگران خوب پنهان کرده بود.	اونم خو غم دوخوسی و ناراحتیا بقیه آنه جه خوب جیگا بده بو	Western Gilaki	Rasht	Sarkhat	GAB	
where the queen was soon informed of what had passed	به زودی ملکه از آنچه بر من گذشته بود خبر شد	هرچی می سر باموبو سریع ملکه بفامس	Western Gilaki	Rasht	Sarkhat	GAB	
no two parts of which were of one precise shade	در تمام بازوی او دو قسمت که هم رنگ باشند وجود نداشت	اونه بازو همه جا دو قسمت کی ایجور رنگ و سو ببه ننابو	Western Gilaki	Rasht	Sarkhat	GAB	
all by his tongue, and his ape, and his show.	این همه را از زبان چرب و نرم و از میمون باهوش و دستگاه خیمه شب بازی خود دارد.	اشانه همه یا خو زبان بازی و خو زرنگه میمون و خو جاجیگایه خیمه شب بازی جه دَشتی	Western Gilaki	Rasht	Sarkhat	GAB	
we, my dears, everything we are and ever will be are just a twinkle in her eye	ما عزیزانم هر چه هستیم و هرچه خواهیم بود در چشم او تنها درخششی هستیم.	امان و امی جغلان هر چی ایسیم و هرچی یم بخواییم ببیم فقط اونه چومانه سوییم	Western Gilaki	Rasht	Sarkhat	GAB	
because it seemed to her that he was sick.	به نظرش رسیده بود که او مردی است بیمار.	فیکر بوکوده بوکی اون ایتا مریضه مرداکه	Western Gilaki	Rasht	Sarkhat	GAB	
waited in silence for him to finish speaking	خاموش و در انتظار ختم سخن فرمانده خود بود	ساکت بو و مونتظر بو اونه فرمانده گپان تمامه به	Western Gilaki	Rasht	Sarkhat	GAB	
for as to capering, begging his pardon, he knew not what it meant.	اما از جفتک زدن و خوش رقصی کردن معذور بود چون قدرت این کارها را نداشت.	ولی از جوفتک چهارگوش تاودن و خوش مزه بازی درآوردن بیزار بو چون ان کاره نبو	Western Gilaki	Rasht	Sarkhat	GAB	
said she could not enter.	به شاهزاده خانم ماریا گفت که او نباید به اتاق وارد شود.	شاهزاده خانم ماریایه بگوفته بو کی اون نوابایه اوتاقه درون	Western Gilaki	Rasht	Sarkhat	GAB	
but he was by that time clearheaded, and had none.	اما آقای لاری پیش از آن صلابت ذهنی خویش را بازیافته بود و به یاری نیازی نداشت.	ولی آقای لاری قبل از اون، خو قدرته ذهنیا بدست باورده بو و کمک نخواستی	Western Gilaki	Rasht	Sarkhat	GAB	
she thought her father did it purposely when she was there	پدرش عمدا در حضور وی این عمل را انجام داده است	اونه پئر جی قصد، هونه ور ان کارا بکوده بو	Western Gilaki	Rasht	Sarkhat	GAB	
I tell you I can't bear it	دارم بهت می گم که من نمی تونم تحمل کنم.	ترا گوفتاندرم کی من نتانم طاقت باورم	Western Gilaki	Rasht	Sarkhat	GAB	
I long to compose rhymed couplets upon the poodle of a countess.	من در صدد هستم که درباره سگ پشمالوی یک کنتس یک بیت قافیه دار بنویسم.	من تلاش کوداندرم کی ایتا کنتسه پشمه سگه ایتا بیت شعر قافیه دار بگم	Western Gilaki	Rasht	Sarkhat	GAB	
I was left alone with my mother.	پس از مرگ مایکل مادرم و من تنها ماندیم.	مایکل کی بمرد، من و می مار تنها و بیکسا بوستیم	Western Gilaki	Rasht	Sarkhat	GAB	
almost before he had righted himself in his saddle	نیکلای که به زحمت خود را روی زین نگه داشته بود مشاهده کرد	نیکلای کی زوره امره خورا زینه سر بداشته بو بیده	Western Gilaki	Rasht	Sarkhat	GAB	
you remember the little chap at the express office	آن جوانک ریز نقش در دفتر پیک اکسپرس که یادت هست	اون تیزوبوزه جوان، پیک اکسپرسه دفتره جه کی ترا یاده	Western Gilaki	Rasht	Sarkhat	GAB	
money and all things necessary for the uniform and equipment of the newly commissioned officer were collected.	با مراقبت کنتس و توجه کنت اشیاء لازم و پول کافی برای تجهیزات و لباس رسمی افسر جوان مهیا شد.	کنتسه محافظت و کنته لطف و توجه امره وسایل و پولی کی لازم بو اون جوانه افسره رسمی لباس و وسایل تهیه ببوست.	Western Gilaki	Rasht	Sarkhat	GAB	
with a slight bump, they hit the ground.	اتومبیل با صدای گرم پی به زمین فرود آمد.	ماشین، گرمه صدا امره زمینه سر بینیشته	Western Gilaki	Rasht	Sarkhat	GAB	
which protected my breast!	تو نابکار تا دسته در سینه من جای گیر شده بود.	تو آدمه نامرد و نابکار تا دسته می سینه جه جا بیگیفته بو	Western Gilaki	Rasht	Sarkhat	GAB	
he began to get ready to drive into town, and again to his mother's to get her signature to the deeds.	آماده شد تا به شهر و سپس نزد مادرش برود تا امضای او را برای وکالت نامه بگیرد.	آماده بوسته تا بشه شهر، بعدن خو ماره ور تا اونه ایمضایه وکالته ره فاگیره	Western Gilaki	Rasht	Sarkhat	GAB	
or at least one man, flanked by two dementors.	به عبارت دیگر یک مرد در میان دو دیوانه ساز وارد اتاق شد.	ایجوردیگر بگم ایته مرداک دوتا دیوانه سازه میان، دکفته اوتاقه درون	Western Gilaki	Rasht	Sarkhat	GAB	
I'm going to find the thermostat and turn the heat up.	من میرم ترموستات رو پیدا کنم و درجه گرما رو بالا ببرم.	من شم ترموستاته بیافم و گرمایه زیاده کنم	Western Gilaki	Rasht	Sarkhat	GAB	
in the same place and the same attitude in which the usher had left him.	در همان جای و به همان وضع که حاجب او را گذاشته و رفته بود ایستاده بود.	هون حالتی، هویا کی حاجب اونا بنابو و بوشوبو، ایسابو	Western Gilaki	Rasht	Sarkhat	GAB	
but to all those who had need of him to protect and aid them in their misfortunes.	بلکه از آن بیچارگانی است که به بازوی توانای او نیازمندند تا پهلوان ایشان را در بدبختی و سیه روزی یاری کند و به حمایت آنان برخیزد.	بلکه یم اوجور بدبخته کی اونه زور و بازویا احتیاج دارید، تا پهلوان اوشانا بدبختی موقع فارس فورس بکنه	Western Gilaki	Rasht	Sarkhat	GAB	
yeh'll need a lot more study before yeh get ter that level.	حالا حالاها باید درس به خونی تا به اون حد برسی.	خیلی وا درس بخوانی تا به اون حد فارَسی	Western Gilaki	Rasht	Sarkhat	GAB	
I shall depend upon a most particular description of it.	بعداً باید حسابی برایم تعریف کنی چه جور جایی است.	بزین وا دقیق مره بیگی اویا چی جاجیگایی ایسه	Western Gilaki	Rasht	Sarkhat	GAB	
for the corn could go, as long as something else remained.	زیرا تا زمانی که چیز دیگری از ذرات باقی بود. احتمال داشت نابود شود.	چون تا موقعی کی اون ذره آن ِ جه چیزی نهه بو ممکن بو از بین بشه	Western Gilaki	Rasht	Sarkhat	GAB	
yet I am willing to aid you to the utmost of my power in a purpose so honest.	با این حال با حداکثر توان خودم در این امر خیر تلاش خواهم کرد.	با ان وضع می تومامه کوششا ان کار خیره ره کونم	Western Gilaki	Rasht	Sarkhat	GAB	
has been scientifically tested and measured since the 1980s and,	از سال 1980 به طور علمی مورد بررسی و آزمایش قرارگرفت.	جی سال 1980، علمی، وامج وومج ببویو آزمایش ببوست	Western Gilaki	Rasht	Sarkhat	GAB	
blindly stumbled back into his shop, bolting the door behind him.	کورکورانه و سکندری خوران به فروشگاهش بازگشت و در را پشت سرش قفل کرد	بدون انکی هیچی بدانه خو فروشگاه درون سرسوم واگردس و پیش پا بخورد و درا خو پوشته سر قفله کود	Western Gilaki	Rasht	Sarkhat	GAB	
I could let him go, but it's the principle of the thing.	می تونم بذارم که بره ولی ازلحاظ اصولی این کار درست نیست.	تانم وهالم بشه ولی ان کار اصولی نیه	Western Gilaki	Rasht	Sarkhat	GAB	
made of a door with its hinges still hanging on it, laid across two barrels.	این میز لنگه دری بود که روی دو بشکه تکیه کرده بود	ان میز دره لنگه ای بو کی دوتا بوشکا سر نهه بو	Western Gilaki	Rasht	Sarkhat	GAB	
but I fear I am not altogether wrong in dreading some desperate attempt	لکن از اینکه مبادا از راه ناامیدی بعضی حرکاتی به میان آید وحشت دارم	اما ترس دارم نکونه ان کی ناامیدی امره کاری انجام ببه	Western Gilaki	Rasht	Sarkhat	GAB	
then it were far better to die rather than to sink from greatness.	بهتر است بمیرد تا آن که دیگر بزرگ نباشد.	بختره بیمیره تا پیله کس نبه	Western Gilaki	Rasht	Sarkhat	GAB	
at night, the circulation of his blood might not be interfered with by the great electric current of the globe.	تا شب هنگام جریان خونش خلاف جهت جریان عظیم مغناطیسی قطب نباشد.	تا شب ِ موقع اونه خونه فشته زئن بر عکس قطبه جریان بزرگه مغناطیسی نبه	Western Gilaki	Rasht	Sarkhat	GAB	
stark naked, with an organdy ribbon in her hair.	سراپا لخت و عور با یک فکل ارگاندی روی سر.	سراندرپا لخت و سوخت ایته کراواته اورگاندی امره اونه سر ِ رو	Western Gilaki	Rasht	Sarkhat	GAB	
to think he had been such a goose and betrayed such a suspicious excitement	از فکر این که این جور خر شده و گذاشته است که آن جور برانگیخته بشود	ان فیکره امره اتو خرا بوسته یو وهشته اوتو ویریزه یو برانگیخته ببه	Western Gilaki	Rasht	Sarkhat	GAB	
she was filled once she reached fifteen and sixteen	همین که پا به پانزده یا شانزده سالگی گذاشت	هتو کی پونزده شونزده ساله ببو	Western Gilaki	Rasht	Sarkhat	GAB	
having evidently reflected and decided how to act	گویا به سرعت اندیشید و تصمیم گرفت که چه بایدش کرد.	اینگار سریع فیکر بکود و تصمیم بیگیفت کی اونا چی وا بکنه	Western Gilaki	Rasht	Sarkhat	GAB	
but my wife will not have it in the drawing room.	اما زنم حاضر نیست آن را به اطاق نشیمن ببریم.	ولی می زن دوس ناره اونا کوچی اوتاقه درون ببوریم	Western Gilaki	Rasht	Sarkhat	GAB	
he wrote hastily in the porter's room, so that your father may be decently laid in his last resting place.	یکی از جواهرات خود را بفروشید تا پدرتان بطرزآبرومندی به آرامگاه ابدی خود سپرده شود.	ایته تیکه شیمی طلایانه بفروشین تا شیمی پئر آبرومندانه دفن ببه	Western Gilaki	Rasht	Sarkhat	GAB	
the reasons why he had declined them.	راجع به عللی که به سبب آن از قبول این پیشنهادها امتناع کرده بود سخن گفت.	درباره مسائلی کی باعیث ببو ان پیشنهادانه قوبیل نکنه، گپ بزه	Western Gilaki	Rasht	Sarkhat	GAB	
his arms locked around my waist and pulled me tight against his body.	بازوانش دور کمر من قفل شدند و مرا محکم به بدنش چسباند.	اونه بازویان می کمره دور قفلا بوست و مرا سخت کش بزه	Western Gilaki	Rasht	Sarkhat	GAB	
it gives us, from morning to night, enough to think about	از صبح تا شام هم همین برایمان بس است	جی صبح تا شبم هن، امرا وسته	Western Gilaki	Rasht	Sarkhat	GAB	
they had mastered the technique, when of course they would be able to earn more.	تا رفته رفته در فن مهر زنی مهارت بیشتری بیابند و بتوانند پول بیشتری درآورند.	تا یوایواش مهر زنی جه اوستا ببید و بتانید خوشانه درآمده ویشترا کونید	Western Gilaki	Rasht	Sarkhat	GAB	
as if he had been standing at the altar with her.	که گویی با هلن زیر تاج گل عقد ایستاده است	اینگار هلنه امره عقده تاجه گوله جیر ایسابو	Western Gilaki	Rasht	Sarkhat	GAB	
I don't bear malice about it.	من عداوتی از تو در دل نداشته و ندارم.	من می دیله جه هیچ دوشمنی تی امرا ناشتمه و نارم	Western Gilaki	Rasht	Sarkhat	GAB	
finally, only one skrewt was left.	فقط یک موجود دم انفجاری دیگر باقی مانده بود.	فقط ایتا ده انفجاری موجود بمانسته بو	Western Gilaki	Rasht	Sarkhat	GAB	
which everyone expected of him, and that he was therefore bound to accept their services.	که باید مراسم وحشتناکی را که همه از او انتظار دارند انجام دهد و به این جهت باید خدمت گزاری همه را بپذیرد.	کی وا ایته وحشتناکه برنامه یو مراسمی کی همه جی اون اینتظار داریدا انجام بده، هنه وستی وا همه کسه ره چاکرم نوکرم بکنه	Western Gilaki	Rasht	Sarkhat	GAB	
I was told to put it in the post.	به من گفته شده بود که تو صندوق پست بندازمش.	مرا بگوفته ببوسته بو کی صندوق پُسته درون تاودم	Western Gilaki	Rasht	Sarkhat	GAB	
he hasn't once looked out.	او هنوز یک دفعه هم از پنجره کالسکه به بیرون نگاه نکرده است.	اون هنوز ایدفعه یم کالسکه پنجره جه بیرونا فاندرسته	Western Gilaki	Rasht	Sarkhat	GAB	
drew her comfortably close and said nothing.	با مهربانی او را به خود نزدیک کرد و هیچ نگفت.	محبته امره اونا نزدیکا کود خودشایو دم نزه	Western Gilaki	Rasht	Sarkhat	GAB	
I'll go in with you, and if they don't turn me out, I'll stay to the end.	من هم با شما خواهم آمد و هر گاه مرا برانند باز هم تا پایان خواهم ماند.	منم شیمی امره آیم و هروقت مرا نهئب بزنن کی بوشو، هندی تا آخر ایسم	Western Gilaki	Rasht	Sarkhat	GAB	
she added quietly.	سپس در حالیکه صدای خود را اندکی خفیف کرد چنین افزود	بعد وقتی خو صدایا ایذره بیجیر باورد اتو بوگوفت	Western Gilaki	Rasht	Sarkhat	GAB	
though I confess I don't think I shall.	ولی باید اعتراف کنم که به چنین تغییری عقیده ندارم.	ولی وا بگم کی ان تغییره امره موافق نی یم	Western Gilaki	Rasht	Sarkhat	GAB	
you may find yourself in a pretty bad position if you try to hide anything from me.	اگر سعی کنی چیزی را از من مخفی کنی ممکن است حسابی توی دردسر بیفتی.	اگه تلاش بکنی می جه چیزیا جیگا بدی، احتمال داره به درده سر دکفی	Western Gilaki	Rasht	Sarkhat	GAB	
for all the inhabitants were asleep, and stretched on the broad of their backs, as the saying is.	زیرا ساکنین آن همچون تنه درختان جنگلی که بریده باشند در خواب خوش غنوده بودند.	چون اویا آدمان عینه جنگله داران کی وابه ببوسته بید نارانار خوفته بید	Western Gilaki	Rasht	Sarkhat	GAB	
but the pleasure she had felt on other days was gone today	ولی از لذتی که در روزهای قبل احساس کرده بود خبری نبود	اما اون لذتی کی قبلنان ببرده احساس بکوده بید ده خبری نبو	Western Gilaki	Rasht	Sarkhat	GAB	
