en_sentence	fa_sentence	translation	variety (Hawraman Takht|Lhon|Jawaru)	county	orthography	translator	7794
that distinction of mind which belonged to his intellectual ardor	آن برتری اندیشه که در دلبستگی سوزان به کارهای علمی در او وجود داشت	ئا وێرە عالە کە هەنش هنۆ ئا دلسۆزیە بێ کە پێ هەرمانەکێش هەنەش	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
it's time to get my dad's old cloak out again.	مثل این که دوباره باید از شنل قدیمی پدرم استفاده کنیم.	هجو دیسان بشۆم جلە کۆنەکاو تاتێم کەروەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but she had not had the courage to renounce her dream altogether.	ولی هنوز دل آن نداشت که از این رؤیا چشم بپوشد.	بەڵام هێشتا دلش نەیێ کە چەم وەزورە ئاست خەیالەیەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but with obvious errors that from every point of view are inexcusable?	همراه با اشتباهات آشکاری است که غیر قابل چشم پوشی است	چەنی ئا هەڵە ئاشکرایا کە هەنێش مەبۆ چەمپۆشی کەری	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
whose improvement was now our main effort.	مسئله بهتر کردن نیروهای نظامی فیصل خیلی مهم بود.	بابەت و بە قوەت کەردەی قوت و سوپاو فیسەلی فەرە گرنگ بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
said that the prince had had a seizure paralyzing his right side.	گفت که سمت راست بدن شاهزاده فلج شده است.	واتش لاو ڕاست و شاهروخی ایفلیج بیەن	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
had courage and leisure for saying it.	آن هم با دل و جرأت زیاد و خیال راحت.	ئانیچە بە ئازایەتی و چەم نەترسیای و خیالیەوە ئاسوهدە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
so would you like to come and have a cup of tea with me around three?	اگه دوست داشتی ساعت سه بیا پیش من که با هم عصرونه بخوریم.	ئەگەر حەزو چەنەن سەعات سێرێ بۆ پا پێەوەرە عەسرانێوە وەرمێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
in short, a volume of a novel of fashionable life was that day improvised by her for my benefit.	خلاصه آن روز به اندازه مندرجات یک کتاب داستان کامل راجع به زندگی عشقی خود برایم حرف زد.	فەرە نەواچوو ئا ڕۆە ئەنەو بەشەکاو یەک کتێبو داستانی سەرۆ ژیان و وەشەویسی وێش قسێش پێ کەردا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he gave her to understand that in the event of her obtaining a divorce from her husband he would marry her.	به او اطمینان داد که چنانچه از شوهرش طلاق بگیرد با او ازدواج خواهد کرد.	دڵنیاش کەردووە کە ەگەر تەڵاق وەرگێرۆ جە مێردەکێش ئانە چەنی ئایی زواج کەروۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but I was mad	چه کنم آن وقت از غیظ و دلتنگی دیوانه شده بودم	چێش کەرۆ ئا ڕۆە چە بێتاقەتی و دڵتەنگیەنە شێت بیەبێنا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I have no pleasure in seeing my friends, unless I can believe myself fit to be seen.	اگر سر و وضعم مناسب نباشد چه لذتی دارد با دوست و آشناها دیدار کنم.	ئەگەر سەرو فیساڵم خاس نەبووە تامش نیا بلو پە لاو دۆست و ئەژناسەکام	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
sat knitting what looked like a canary yellow circus tent.	مشغول بافتن چیزی شبیه به چادر سیرک زرد رنگ بود.	خەریک و وەراستەو چێوێوی بێ هجۆ خێمەو نمایشی زەرد ڕەنگە بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
she paced down the long gallery to her bedroom.	از تالار طویل به سوی اتاق خواب خود رفت.	جە هۆڵە گۆرەکەوە بەروە ژورو وەتەی لوا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
as I was thus deep in thought and perplexity	هنگامی که در این افکار مستغرق بودم و حیران و سرگردان مانده بودم	کاتێو دلێ ئی وێرا نوقم بیەبێنا، حەیران و سەروەنەشێوایا بیەبێنا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I lay on a sofa, almost from shore to shore.	در نتیجه من تمام مدت بر نیمکتی لمیده بودم.	ئتر من تا مودێو سەرو کورسیەکەیو کیشیابێنارە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
then knelt down and turned on a few of the taps.	سپس خم شد و تعداد از شیرها را باز کرد.	دماتەر نامیارە و بەعزێو جە بەلوعەکاش کەردێوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
as though he had come this moment , straight out of some green meadow at the other side of the world.	که انگار همان لحظه یک راست و به تاخت از مرغزاری سبز از آن سوی دنیا آمده بود.	هجۆ چا کاتەنە چۆ سەرۆ دنێوە دلێ ئا سۆزاییەنە ئامابێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
threw it with a hard effort which was but impotence.	با تقلای فراوانی کوشید به سمت او پرتابش کند اما توفیق نیافت.	فەرە هۆلێش دێ کە فەرەش دۆ بەرەو ئایی بەڵام نەتاواش	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
that his father would carry candor, or rather rudeness	که پدرش تا به این درجه توضیح خواهد نمود	تاتەش تا ئا حەدە باسش کەرۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
would they let me since it is but well to be on friendly terms with all the inmates of the place one lodges in.	باز هم با آن بسازم چون چیزی بهتر از این نیست که انسان با تمام ساکنان هر کجا که در آن اقامت کرده دوستی کند	دیسان چەنیش ساچو چونکە هیچ ئەنەو ئانەیە خاس نیا کە ئینسان چەنی خەلکو ئا یاگێ کە ئینێ پێوەرە بۆ بە ڕەفێق	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
on our victuals and our drink.	ولی البته به خرج ما و با غذایی که از سفره ما خواهد خورد.	بەڵام سەرو لەمەو ئێمەوە و چاشتەوە کە سەرو سەفرەکەو ئێمەوەن وەرۆنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
she had neither engaged herself in her usual work, nor had she read to him.	لوسی نه به کارهای معمول خود پرداخت و نه برای پدر چیزی خواند.	لوسی نەهەرمانەکێ وێشش کەردێ نە چێوەش واناوە پێ تاتێش	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but he set off at the bottom of his heart dissatisfied both with her and with himself.	اما در ته دل از کیتی و از خود ناخشنود بود.	بەڵام ناخشەنە جە کیتیی و جە وێش نارازیە بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
the execution was to be carried out within twenty four hours.	باید حکم اعدام را در عرض بیست و چهار ساعت آینده اجرا شود.	بشۆم حوکمۆ کوشتێش تا ویس و چوار سەعاتێ تەر ئەنجام دریۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I saw hope revive and felt regeneration possible.	دیدم امید از نو زنده شد و حس کردم تولد تازه امکان پذیر ست.	دیک کە ئومێد دیسان زینە بیۆ وە هەستم کەرد زینۆبیەی ڕاش مڵۆنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
that he was ready for any trial	حاضر به تحمل هرگونه سختی و هرگونه خواری است	ئامادە و گەرد نوعێو سەخنی و نارەحەتێویا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he invited him to drive with him to his country villa and to the races.	از او دعوت کرد که به اتفاق به خانه ی ییلاقی وی و سپس به تماشای مسابقه بروند.	ئایش دەعوەت کرد کە پلا پێ کێلەکە و چاگێچو بلا تەماشەو پێشپێشانەکێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I had a longing to go upstairs and put on my dress	من مایل بودم به طبقه بالا بروم و لباسم را بپوشم.	من حەزم چەنە بێ بلو قاتو سەری و جەلەکام کەروەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I never see him get around so since	من تا حالا ندیده بودم این جور ورجه ورجه کنه.	من تا ئیسە نەیەبێم کە پاسە دۆرشەنە سۆریۆوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
losing confidence in its allies, suffering from shortness of supplies	محصور بود و دیگر به متحد ین خود اعتماد نداشت	وێگیر بێ و ئیتر سیقە بە چواردۆرەکێش نەکەرێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I'm sure he is in excellent health.	مطمئنم که در سلامتی کامل به سر می بره.	دڵنیانا کە بە تەندروستیوی خاس ژیان بەرۆ سەر	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he took from his pocket a handkerchief andbegan to wipe his moist, cold face and hands.	از جیب کتش دستمالی بیرون کشید و سر و صورت نمناک خود را با آن خشک کرد.	باخەڵەو چاکەتەکێشەنە پەرۆویوش بەرئاورد و سەرو ڕوە تەرەکێش وەشک کەردۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
a grievous wrong hast thou done me to drive me forth with scorn	چه جفای عظیمی کردی که مرا از آستان خود راندی	چە تاوانیوی گۆرەت کەرد کە منت بەرد کەرد جە یانەیتەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I do not think that any sensation lurks in it.	گمان ندارم هیچ گونه حساسیتی در آن نهفته باشد.	بروا مەکەرۆ هیچ حەساسیەتێو دلێ ئانەیە شاردەبۆوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but that they should place before them what is good	بلکه کسانی را که از هر جهت شایسته و قابل قبولند به ایشان پیشنهاد کنند	بەلام کۆمەلێو کەسێ کە شایەنێن و بەرێمشا پەنەشا بشناسە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
as long as he knows how to move her to passion each time.	البته مرد باید راه تحریک کردن را بلد باشد.	هەڵبەت پیا بشۆم ڕاو یۆکێشتەی پێ وێش بزانۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
raised it from seventhousand to eighty five hundred	از هفت هزار تا رسانده به هشتهزار و پانصد تا	جە حۆت هەزارا یاوناش هەشت هەزار و پەنسەو	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
feed it on a bucket o' brandy mixed with chicken blood every half hour.	باید خون جوجه رو با کنیاک قاطی کنیم و هر نیم ساعت یه بار یه سطل بهش بدیم.	بەشۆم وەنەو جوجەلەکێ چەنی کونیاکی تێکەڵ کەرم و نیم سەعات جارێو سەتڵەوەش دێمێ پەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
speckled with beings greater than gods.	دنیایی که در آن موجوداتی برتر از خدایان وجود داشته باشند.	دنێوێ کە زینەوەرێ خاستەرێش جە خوایەکا چەنە با	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
this put her at once into good humour.	همین باعث شد که فوراً با من بر سر لطف بیاید.	هەر ئەنە بێ کە بێ بە هۆی ئانەیە چەنیم عال بۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but she sat with her own back and the back of the large chair towards it	ولی او پشت به آفتاب نشسته و پشتی بزرگ صندلی نیز در جلو آفتاب حایل شده	بەڵام ئای پەشتیش کەردە وەرەتاوەکەی و پەشتیش کەردە کورسیە گۆرەکەی	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
who had been somewhat used to the sea.	تا حدی با کار دریانوردی آشنایی داشتند اجیر کند.	کچێو چەنی دەریای ڕا ئامابێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
because there were certain engrafted clerical peculiarities about him, imputable to that adventurous maritime life he had led.	چون برخی خصایص آخوندی به او بسته بودند که زاده دوران زندگی دریایی سابق او بود.	چونکە کچیو تەسەروفێ مەلایەتیشا بەستەبێ پۆوە کە هنو سەردەمۆ ژیانی زاولەێتیش بێنێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
for in that case the extremities of it, being at equal distance from the earth, act with equal force	زیرا در این حالت دو قطب آن چون از زمین به یک فاصله است تأثیر قوایشان یکسانست.	ئیتر چا حاڵەتەنە ئی دوە جەمسەرە و سەرو زەمینی یەک دوریشا هەن و یەک کاریگەریشا هەن	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I have a partner that I'mgoing to bring around here presently.	من همکاری دارم که میخ وام هرچه زودتر بیارمش اینجا.	من یۆ هەن پێوە هەرمانە کەرمێ گەرەکما باروش چەنی وێم	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
they produced no more effect on him than if his heart had been really a matter of stone or metal.	به هیچ وجه متأثر نشد گفتی قلبش به راستی از سنگ یا فلز ساخته شده.	وێش تێک نیا واتت دلش جە تەوەنێ و ئاسنە وەش کریان	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but I made haste to plunge into intellectual conversation to smooth over the defects of my attire.	این بود که با عجله یک بحث روشنفکرانه را پیش کشیدم تا پوستینم را فراموش کنید.	ئانە بێ کە بە پەلە باەتێوە ڕۆشنویرانەم کەردۆ پێ انەیە پاڵەیەکامش ویر بشاوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
they would almost be willing to be made ridiculous again	که باز هم حاضرند آن جور دست انداخته شوند	دیسان گەرەکشانە پەنەشا ویاراوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
at every turn she will fall into a thousand blunders	در هر قدم هزار گونه ناشیگری و حماقت و ندانم کاری از او سر خواهد زد	گرد هەنگامێوەنە چەنەش مێ هەرمانەوە خراپە و لاریە دۆ وەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
you yourself swear that it waslast in your hands before it reached the water.	تو هم اعتراف کردی این دوربین پیش از افتادن در آب تو دست خودت بود.	تۆچ دانت نیا پۆرە کە کامێراکە وەلێ ئانەیە گنۆنە ئاوەکە دەسو وێتۆ بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
with all his might, feeling that he would like to injure himself by that shout, if only to express his rapture fully.	میل داشت برای ابراز عشق و اشتیاق خود به امپراطور با این فریاد خویشتن را رنجور نماید.	گەرەکش بی پا هاوارە وێش ئەزیەت دۆنە تەنیا وەرو ئانەیە وەشەویسی و مێلو وێش بەروەزۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
that much that was concealed from others was usually known to him	که او از اخبار بسیاری که دیگران از آن آگاه نیستند اطلاع دارد	ئای جە ەرەو چێوا کە خەلک مەزانۆش ئاگادارا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I pressed forward towards the middle of the room until I had secured a seat at a croupier's elbow.	من برای خودم راهی به طرف میز قمار وسط باز کردم و نزدیک میز پا جای گرفتم.	بۆقەم نیا مێزەکێوە تا ناوەراسو هۆلەکێم بەردەو پاڵ دا زەنگۆلۆ پیاکەیۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
with a little boy before hiM	که طفل روستایی را هم ردیف خود کرده بود	زواڵە لادەگاییەکەش پەسەو وێش پەنە کەردەبێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
not only his own money, but that of his clients as well.	خواه پول خود و خواه سپردهٔ مشتریان را نیز در این کار گذاشت.	جا زەرەکەو وێش و زەرەکەو موشتەریەکاچش وەستەنە هەرمانەکێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
that is, every man of sane judgment because it is not to be found in miserable legal codes.	یا به عبارت دیگر هر مردی که دارای قضاوتی درست باشد موظف است با ین احساسات وفادار بماند حتی در موردی که قانون راجع به آن صامت باشد.	یان بە جۆرێو تەر کە هەر پیێو ڕێک حوکم کەرۆ پێویستە سەرۆ ێی بەڵنێنامەیۆ وەفایار بۆ و تەنانەت وەرو یاسایچەنە بێدەنگ بۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but as soon as the princess heard his tone she subsided at once,	اما شاهزاده خانم به محض شنیدن لحن او سکوت کرد	بەلامشازادەکێ چەنی سۆتو ئاییش ئەژنی بێ دەنگە بییە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
look out for squalls	مواظب باشید که روی هر گنجی ماری خوابیده است!	ئاگادارێ بێدێ کە سەرو گەرد گەنجینیویۆ مارێو وەتەنەرە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I did not quite know what for	ولی من که نفهمیدم علت این تظاهر و هورا چه بود.	بەڵام من نەزانام هۆکارو ئی نارازی بیەیە و هاوارا چێش بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I had taken great pains to repress them	برای خودداری از ریختن اشگ خیلی به خودم فشار آورده بودم	وەرو ئانەیە هەڵسی نەمجوو فەرە زۆرم کەرد وێم	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
not until you hear further from me.	فعلا دی گه حرفی نزن تا خودم دوباره خبرت کنم.	جارێو هیچ مەواچە تا وێم پەنەو واچو	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I'd take real good care of you.	من به نحو احسن از آن مراقبت خواهم کرد.	من بە عالترین شێوە ئاگام چەنەو بۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he could hardly hold himself	به زحمت جلو خودش را گرفت و چیزی نگفت.	بە زۆر وەێش گێرت و قەسێش هنەکەردە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I wanted it dreadfully, and wished I was her with all my might.	من عاشق انگشترش شدم و با تمام وجود آرزو کردم که کاش به جای او بودم.	من عاشقو ئەنگۆسیلەکێش بیا و پەر بە دڵ ئاوات واست کە جیای ئایی بێنا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
hammered nails into him and crucified him, and afterwards	آری او را به دیوار میخ زده و مصلوب کرده بود.	بەلێ ئایشا بە بەزمارێ کوابێرە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but only as she had imagined it before she had been there.	آن را به نحوی که در نظر مجسم کرده بود به خاطر سپرد.	ئایش پا شێوە کە تەماشەش کەردە بێ وەستشەنە وێرو وێش	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
found her one of the most beautiful people she had ever known.	زیباترین زنی یافت که تا به حال دیده بود.	وەریفتەرین چەنیش ئێستۆ کە تەمەنشەنە دێبۆش	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
as for example want of shirts, and no superabundance of shoes, thin and threadbare garments	برای مثال از بی پیراهنی و بی کفشی ایشان و از پارگی و نازکی لباسشان صحبت کنم	پێ نمونەی دە بێ جەلی و و بێ پاڵەیی و دەڕیا و ناسکەی جەلەکاش قسێ کەرونە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I don't know what I am thinking about these last few days.	من در این روزها کمی عقل از سرم پریده است.	من چی ڕوانە کچێو عەقل سەرەمەنە پەران	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
though the doctor's evidence pointed to an almost incredible facial distortion	با اینکه گواهی پزشک به تغییر شکل نسبتاً شدید چهره اشاره دارد	چەنی ئانێچە بەڵگەکێ دکتۆرەکا ئانەیە نیشانە دێنێ کە چۆرچەمش شێویان	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he has fared hard, and worked hard to make good everybody's loss.	همیشه به خودش سختی داده جان کنده تا بدهکاریش را بدهد.	گەر کاتێو وێشش ئەزیەت دان وەرو ئانەیە قەرزەکاش دۆوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
so that there was no knowing to which to reply.	به طوری که معلوم نبود باید اول به کدام یک پاسخ گفت.	بە جۆرێو کە نەزانێ سەرەتا جوابۆ کامیشا دۆوە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but I must know exactly where this treasure is,	ولی اول باید دقیقا بدانم که این گنج کجاست	بەڵام بشۆم وەلێنە بزانۆ گەنجینەکە اینا چکۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
if you will open the shutters for me.	به شرطی که کرکره پشت پنجره را باز کنید.	بە مەرجێو پەنجەرەکێم پێ کەریۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I'm sure he did all that anyone could.	مطمئنم همه تلاشی که هر کس می تونست بک نه رو کرده.	دڵنیانا کە هەر هۆلێو خەلکی تاوابۆ دۆش ئایچی دێنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
who apparently was on the look out for him a smooth	جیل که ظاهرا از پیش گوش به زنگ ورود کلاید ایستاده بود.	پاسە دیارا اینا چەمەروانیو ئایەنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
lit a cigarette, smoked it, and crushed the end on the floor.	سیگاری کشید و سپس با انگشتان خود که با آب دهان تر کرده بود آن را خاموش ساخت و ته سیگار گنده را روی کف اطاق له کرد.	جەگەرێوش کێشت و دماتەر بە پەنجەکاش کە بە دەمش تەرێش کەردێنێنێ جەگەرەکەش کوشناوە و سەرەو جەرگەرەکێش چەقنا زەمنەکەیەرە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
for, with all the pains they take and all the cleverness they show	اینان هرچه دقت کنند و هر قدر مهارت بکار ببرند	ئینێ چەن تەرکیز کەرا و چەن توانا و کارامەیی بەکار بارا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
so, if he made four ballad stanzas of four lines each	من اگر بخواهم چهار رباعی بسازم که شانزده مصرع باشد	من ئەگەر گەرەکەم بۆ چواری وەشە کەرو کە شانزە مسرەعێ بۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but commonplace is precisely what I felt he was not.	اما باید بگویم که آنچه احساس کردم استریکلند نیست همان مبتذل بود.	بە تەمامی ئانە بێ کە هەست کەرێنا ئانە نیا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I thought, giving up the very last thing I had to give.	با خودم فکر کردم و آخرین چیزی که داشتم از دست دادم.	چەنی وێو وێرێم کەردێوە و واتم کۆتا چێو بێ کە جە دەسم دا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but, she so far understood them as to perceive that she was set at naught.	اما از فحوای کلی بیانات نامفهوم میس پراس این نکته را دریافت که رقیب او را به هیچ وجه تحویل نگرفته است.	بە عام ئانەیە یاوانیشانە ئانە بێ کە ئایشە وەرنەگێرتەبێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
feeling but ill at ease meantime to see what was next to follow.	خیلی هم ناراحت بودم تا ببینم بعد از آن چه خواهد کرد.	فەرە ناراحەت بێنا تا وینۆ دماو ئانەیە چێش کەرۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
by my beard but the grey is a good one.	به ریشم قسم که خرک هم خر بدی نیست.	هەرەکە هەرێوی خراپ نیا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
were two, dated on the night his illness first came on	دو نامه بود که تاریخ همان شب بیماریش را داشت	دوێ نامێ بێنێ کە چا تاریخەنە نەوەشیەکە بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
was the unexpected command which arrested her before she got out of her seat.	این یک دستور غیرمنتظره بود که ای میرا قبل از این که از پشت میزش بیرون بیاورد غافلگیر کرد.	ئینە فەرمانێو چەمەروانەکریا بێ کە وەڵێ ئانەیە چێرۆ مێزەکێنە بەرەش بارۆنە واقشوەرمەن	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
fell into talk with him , stopping beside a neat yellow sheaf of rye laid on the thrashing floor for seed.	در کنار خرمن زردرنگ چاوار که در خرمنگه به منظور بذرپاشی گذاشته بودند ایستاد و مشغول گفتگو شد.	پاڵو خەرمانەکەیەنە مەدرا کە نیابێشارە تۆم شانا و دەسش کەرد قەسە کەردەی	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
his parish was large, the population scattered	منطقه فعالیتش وسیع بود و جمعیت در نقاط دور از هم پراکنده بودند.	دوروبەرو چالاکیەکاش فەراوان بێ و خەلکەکە دور جە یۆی بڵاوێ بێبێنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but between my jittery hands and the redlining heat sensor, the engine just shuddered under the hood without turning over.	در میان دستان لرزانم نمایشگر و گیرنده حرارتی موتور درون کاپوت لرزشی کرد.	من دلێ دەسە لەرزیایەکامەنە نیشان دەرو وەرگێر و گەرماو ماتۆرەکەیەنە بینا کە لەرزا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I'm not sure. I pleaded with her to talk to you about it.	مطمئن نیستم. به او التماس کردم که درباره مشکلش با شما صحبت کند.	دڵنیا نیەنا ڕاجام وەنە کەرد کە سەرو کێشەکێش چەنی شمە قسێ کەرۆنە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he recollected the prayers his mother had taught him	دعایی که مادرش به وی آموخته بود به خاطرش آمد	ئا دوعێ کە ئاێش فێر کەردەبێ ویرەش کۆتۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
he had a hard job shaking it off	هری به زحمت توانست آن را از دستش جدا کند	هاری بە زۆر تاواش ئایی جە دەسشەنە کەنۆرە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I hadn't had any difficulty in fixing things with the firm.	من مشکلی در رابطه با مرتب کردن کارها با شرکت نداشتم.	من کێشێوم چەنی ڕێک وەستەوەی هەرمانەکام چەنی شەریکەی نیا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
fight his way out, and elope with her.	راهش را با جنگیدن بگشاید وبا وی فرار کند.	ڕاکێش بە جەنگ کەروەەو و چەنی ئایی ڕەمۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
till at length the whale somewhat slackened his flight.	تا عاقبت وال تا حدی از سرعت گریز خود کاست.	تا ئاخیرۆ وال جە سەریعیەکە و وێش کەم کەردۆ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but it did not prevent it getting sprinkled with grey upon his shoulders.	اما این مانع از آن نبود که حال درجه بگیرد	بەڵام ئانە ڕاو ئانەیشە نەگێرتە کە نمرەکێش وەرگێرووە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
I have to go out of town for a day or two.	من باید یکی دو روزی شهر را ترک کنم.	من بشوم یەک دوێ ڕوێ شارەکەی جبا بازوو	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
without a position for our left flank	ما تمام مواضع خود را در جناح چپ از دست دادیم	ئێمە گەردو چێوەکاما لا چەپیۆ جە دەس دا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
HIS wife was up when he came in.	وقتی که به خانه رسید زنش هنوز بیدار بود	کاتێو یاوا یانە ژەنەکێش هێشتا نەوتێبێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
you'll not do anything now but just go home and wait until you're really sure.	که شما فعلا دو هفته دی گه هم صبر کن ین تا صدردصد مطمئن به شین.	شمێچ تا دوێ هەفتێو تەر مەدردێتا دڵنیا بێدێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
as it were, by simple exercise of will, increasing and slackening speed and turning his course.	گویی در حال تمرینی ساده برای تند و کند رفتن و آمادگی برای مسابقه بود	هجو اینای حالەتو ئانەیەنە کە تەمرینی سادە کەری جە سورعەت و خاو لوای پێ پێشپێشانەکێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
followed his helpmate downstairs.	با سرعت تمام به دنبال همسر گرامی خود روان شد.	بە سورعەتیوی فەرە لوا شۆنەو هامسەرە ڕێزدارەکێش	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
but he must have been searched, and his latch key must have been taken from him.	اما البته در زندان اوا بازرسی کرده و کلید را از وی گرفته بودند.	بەڵام هەڵبەت دلێ سەجنیەنە پرسا و جوابشا کەردەبێ و کرێلەکێشا چەنە ئەسا بێ	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
covering myself with my own clothes	جامه خود را در آوردم و بروی خود افکندم	جەلەکێش وەتێو و دێش وێشەرە	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
so there was plenty of time for them to enjoy life.	در نتیجه آن دو دختر وقت زیادی داشتند تا با هم از زندگی لذت ببرند.	ئیتر ئا دوە کناچە کاتی فەرەشە بێ تا پێەوەرە چێژ جە ژیانی وینا	Lhon	Tawella / Biyare	Hawrami_var_1	BJ	
