Em diçin!	We're going!
Oxx çi xweş! Nexwe ez dê jî niha xuya bibim.	Oxx how nice! Otherwise I will appear now.
Şooş. Ev aferîdeyên li vir çi celeb in?	Shoosh. What kind of creatures are these here?
Problema vê vafirokê çi ye? Ew nafire.	What is the problem with this aircraft? He doesn't fly.
Neh pêlik… deh… yazdeh… duwazdeh -	Nine o'clock... ten... eleven... twelve -
Em gelekî bi hêsanî bûn korsan, ne wisa Seg?	We became pirates very easily, didn't we Seg?
Nexwe heta tu herî û werî, ez dê hin tiştan nîşanî Pug bidim.	Well, until you come, I'll show Pug some things.
Oxx çi xweş!	Oxx how nice!
Rast e!	Joint venture!
Em ji bo kar amade ne, kaptan.	We are ready for action, captain.
Û sîmên me paqij bikî.	And clean our faces.
E-ew çi bû û – û ew – û ew?	What was it and – and it – and it?
Te ew şewqe ji ku anî?	Where did you get that shine?
Û yek ji wan niha li ser difina min e!	And one of them is now on my shelf!
Ez tiştekê wisa nakim.	I don't do anything like that.
Sihet xweş, Pug!	Cheers, Pug!
Vegere ser karê xwe, qalikê keştîhez!	Get back to work, boat lover!
Mmmm… Spas dikim.	Mmmm... Thank you.
Hûn ji ku vegerîyan, Pug?	Where did you come from, Pug?
Dîyar e ku ew di xetereyê da ye.	It is clear that he is in danger.
Tu dikarî bibêjî bê em dê çi bikin, Dapîra Pug?	Can you tell me what we're going to do, Grandma Pug?
Jîyana di Tarîyê da – Jîyana Berî Ceyranê ye.	Life in Darkness is Life Before the Sun.
Pir baş e! Kî tiştekê xwarinê dixwaze?	In charge! Who wants something to eat?
Ez dikarim Xezînaya te bibînim, Du Rihî Beg. Ez seg im û seg ji bêhnê ra jêhatî ne. Bêhna Xezînaya te dişibe çi?	May I see your Treasure, Two Bearded Beg. I am a dog and dogs are good at smelling. What does your Treasure smell like?
Em herin ser nêrdewanê, Seg?	Shall we go up the ladder, Seg?
Em herin ser nêrdewanê, Pug.	Let's go up the ladder, Pug.
Em tên cem te Dapîra Pug!	We're coming to you Grandma Pug!
Ez ji pirtûkên ku ji min ra…	I am from the books that...
Ev der pir û pir mezin e, Seg!	This place is very, very big, Seg!
Rojnivîsk ew pirtûk e ku tu tê da wan tiştan dinivîsî ku te nava wê rojê kirine.	A diary is a book where you write down the things you have done during that day.
Spas dikim, Dapîra Pug.	Thank you, Grandma Pug.
Ez… d-d-dibe ku ew hût bin?	I… d-d-maybe they're hot?
Girava Xezînayê ye.	It is Treasure Island.
Silav! Silav!	Hi there! Hi there!
Me bi hejmaran çi xêz kir, Seg?	What did we draw with the numbers, Seg?
Bijî! Bijî Corc!	Live! Long live Cork!
‘Zangoçî got ev der tam li gor Segmarekê ye û berdestkê xwe danî erdê.’	Zangoçi said this place is exactly like Segmarek and put his hand on the ground.
Kulîçeyên bisosîs tune ne!	No sausage rolls!
De em baxçeyê wî çêbikin.	Let's make his garden.
Ka em herin heyama berê – berîya sed salan, dema ku tarîya şevê dinya dixist bin hikmê xwe…	Let's go back in time - a hundred years ago, when the darkness of the night ruled the world...
Xezînaya ku ew antolojî dibêje em lê digerin çi ye?	What is the treasure that that anthology says we are looking for?
Hebû kerek bû … Na! Hebû ii…ii…	There was a donkey... No! There were ii…ii…
Ev der naşibe maleka xweş, Seg.	This place doesn't look like a nice house, Seg.
Berepaşkî?	Reverse?
Tu xwe baştir his dikî, Seg?	Are you feeling better, Seg?
Weyla ew hîn li pey me ne?	Are they still after us?
Hêvîdar im wan mişkên mizawir jî lê guhdarî kiribin.	I hope those mice have listened to it.
Nexwe ez dê jî wisa bikim!	Otherwise I will do the same!
Woo… Çi rojeka xweş!	Woo… What a beautiful day!
Ew bêhtir dişibe min!	He looks more like me!
Hebû tune bû. Daristaneka tarî ya bi navê Daristana Tarî hebû. Ji ber ku ew	There was no. There was a dark forest called the Dark Forest. Because that
Mişkên pirtûkxaneyê jî diçin betlaneyê.	Library mice also go on vacation.
Bi min divê tu baldar bî, Pug.	You should be careful with me, Pug.
Ne şert e ku wisa be. Eger tu rêya derketinê nîşanî me bidî û Tesî jî rêbaza xwe ya gelekî serkeftî ya tayê sor bi kar bîne, mirovên ku dixwazin ji bo çayê û pastayan werin vir, dê rêya dikana te bibînin.	It doesn't have to be like that. If you show us the way out and Tesi uses his very successful method of red fever, people who want to come here for tea and pastries will find their way to your shop.
Ev çi baxçeyekê xweş e, Seg.	What a beautiful garden this is, Seg.
Yekem Kutik!	First Kit!
Pir xweşik e! Lê ew dê têra xwe qewîn be?	It's very beautiful! But will it be enough?
Navê min Pug e û ev jî Seg e.	My name is Pug and this is Seg.
Aaah. Min hêvî dikir ku bibim yekem pugê li Cemsera Bakur, lê te rê li ber min girt.	Aaah. I was hoping to be the first pug in North Jemsera, but you got in my way.
Min darikê te şikand, bibore.	I broke your stick, sorry.
Bi min cereyana vir qut bûye.	I think the current has been cut off.
Waa? A rast ez nava labîrentê wekî binê sima xwe dizanim. Lê dibe ku ji bo kesên din dîtina vir dijwar be.	Wow? I know the inside of the labyrinth like the bottom of my face. But it may be difficult for others to see here.
Waa? Baş e. Ez pîzza dibim mala Dapîra xwe, lê Gurê Mezin û Xerab dixwaze wê ji min bistîne.	Wow? All right. I'm taking pizza to Grandma's house, but the Big Bad Wolf wants to take it from me.
Şêwaza nû ya Pîkaso ya ku wî navê Pugîzm lê kir… lê piştî sê rojan navê wê guherî û bû Kubîzm… kir ku mirov dinyayê bi awayekê nû bibînin. Dawî.	Picasso's new style, which he named Pugism... but after three days it was renamed Cubism... made people see the world in a new way. The end.
Dîtina wan macareyên bi te ra gelekî xweş bû, Dapîra Pug.	It was great seeing those adventures with you, Grandma Pug.
Tu li wir bûyî… tu jî li wir bûyî… û tu jî li wir bûyî!	You've been there...you've been there...and you've been there!
Wê hingê em herin!	Then let's go!
Ez ji dengê wan hez dikim.	I like their voice.
Binêrin! Keştîyek!	Look! A ship!
Hûtekî Pug qefaltîye!	A Pug Hut has crashed!
Va ye ev sêhr e!	This is magic!
Em ji labîrentê derketin. Spas, Mînotor û Tesî. Ev macerayeka gelekî xweş bû.	We left the labyrinth. Thanks, Minotaur and Tesi. This was a very nice adventure.
Oxx çi xweş! Çi xwarina xweş!	Oxx how nice! What a delicious meal!
Himm! Kolikên Segan… Welatê Segan… hih! Biskiwîtên Segan!	Hmm! Segan Colics... Segan Country... hih! Segan Biscuits!
Her bijî! We bi tiştanokê derxist.	Long live! You came out with something.
Ew çîrokeka din e, Pug. Gurê Xerab di wê çîrokê da jî heye. Eger em bikarin bikin ku ew pif bike vî xanîyî, ew dê belaya xwe ji pîzaya Dapîra Kûmsorê veke!	That's another story, Pug. The Bad Wolf is also in that story. If we can get him to blow up this house, he'll get rid of Grandma Kumsor's pizza!
Tu xetereya vê astenêg tune ye.	There is no risk of this obstacle.
Pirtûkên tûmikî… Pirtûkên girikî… hih! Pirtûkên bifener/şevçira!	Soft books... Screaming books... heh! Bifener/shevçira books!
Carinan gelek bersivên pirseka hêsan hene. Ew li gor xwedîyê pirsê û cihê ku ew lê ye diguhere.	Sometimes there are many answers to a simple question. It varies depending on the owner of the question and where he is.
Êdî ez dizanim ku ev seray ne li gor me ye, Pug. Ji ber ku em hertim ji nava wê tên avêtin!	Now I know that this greenhouse is not for us, Pug. Because we are always thrown out of it!
Min ji wê pirtûkê pir hez kir!	I loved that book so much!
…ez ji pirtûkên…	...I read books...
Bi tenê devê te yê mezin dixebite. Ew şopên tekerên min in û min hemû kar kir!	Only your big mouth works. Those are my tire tracks and I did all the work!
Li me bibore. Tev sûcê vî şovalyeyî bû!	Forgive us. It was all the fault of this knight!
Lê ev baran nebû!	But it didn't rain!
De em dîsa ji serî dest pê bikin.	Let's start again from the beginning.
Potên we li ser pinda we ne. Wan bi kar bînim!	Your pots are on your pinda. Use them!
De îcar binêre bê te çi kir, tilîsisto!	Now look what you did, tilisisto!
Hingê ez dê bizanim ku tu pir wêrek î. Dibe ku li pirtûkxaneyê pirtûkeka ku ji te ra bibe alîkar hebe.	Then I will know that you are very brave. There may be a book in the library that can help you.
Ez dê berî te herim!	I will go before you!
Watsin?	What?
Min hîn fam nekirîye, Seg.	I still don't understand, Seg.
Xwezî min bikarîya, birako. Lê mixabin min şewqe û darikê xwe yê sêhrê winda kirin. Bêyî wan, ez nikarim sêhrê bikim.	I wish I could, brother. But unfortunately I lost my glow and my magic stick. Without them, I can't do magic.
Te berfesegê min eciband?	Did you like my blog?
Ew pir ecêb e, Kutik…	It's amazing, Little…
Ez ji vê pirtûkê hez dikim.	I love this book.
Hînbûna wan rastîyên ecêb pir xweş bû.	It was great learning those amazing facts.
Ev vafirok e, Seg!	It's a blast, Seg!
Ev demeka pir dirêj e ku dînozor li vir in û ew werar bûne!	The dinosaurs have been here for a very long time and they are extinct!
Îcar ew burger mezin bûn yan biçûk bûn, Dapîrê?	So were those burgers big or small, Grandma?
Li dera hanê tiştek perên xwe li hev dide.	There is something going on here.
Em ji bo lêgerînê alî te bikin?	Can we help you search?
Lê divê em bi awayekî vegerin despêkê.	But we have to go back to the beginning somehow.
Tu dikarî biceribînî.	You can try.
Îcar em dest bi pêşbirka xwe bikin?	So shall we begin our contest?
Û kirêt î.	And you are mercenary.
Îcar dora lêgerîneka din e!	Now it's time for another quest!
Eger ez ji tiştekî bitirsim, nexwe divê ez xwe wêrek bikim!	If I am afraid of something, then I must be brave!
Seg, ma bi rastî stêr kunên biçûk yên di şevê da ne û ronî xwe di wan ra dide der?	Seg, are stars really little holes in the night and light shines through them?
Digel ku ew darek e û nikare ji cihê xwe bilebite, ew dikare biguhere û dikare li wan mirovan binêre ku tên derdora wê.	Although she is a tree and cannot move, she can change and look at the people who come around her.
Ev pirtûk li ser Înid Braytinê ye. Wê gelek çîrokên biheyecan nivîsîne.	This book is about Inid Braytin. She will write many exciting stories.
Û ev?	And this?
Ez ji aşpêjîyê pir hez dikim, lê Bilî Barkir destûrê nade min, lewra min xwe kir Pagil-Wagilek.	I love to cook, but Bili Barkir doesn't allow me, so I made myself a Pagil-Wagil.
Û ev lepik… fereka van lepikan e!	And this lip... is the bottom of these lips!
Heta ku em dîsa pirtûkeka wê bixwînin.	Until we read her book again.
Nexwe ez dê Tîsbîyê bilîzim.	Otherwise, I will play Tisbi.
Tu yarîgeha herî xweş î ku ez pê ra hevaltîyê dikim, Deyv!/ Tu hem hevalê min î, hem jî xweştirîn yarîgeh î, Deyv!	You're the best friend I've ever met, Dave!/ You're both my friend and the best friend, Dave!
Ew dê niha bi sêhrê cih biguherînin. Abrakadabra!	They will now magically change places. Abracadabra!
Himm Çîyagerî… Pezbirî… Aha! Endazyarî!	Hmm Mountaineering… Agreed… Aha! Engineering!
Malî ava Cewrikê Super. Tu pir baş î!	Cevriki Super Water House. You are very good!
Ez dê pênûsên rengan bi kar bînim.	I will use colored pencils.
…ez ji wan pirtûkan hez dikim ku mişkên pirtûkxaneyê ew paqij kirine û bergên wan dibiriqin	…I like books that have been cleaned by library mice and have shiny covers
Yan jî… em dê fenerên xwe bibînin!	Or... we'll find our lanterns!
Seg, ez dibêjim qey min tiştek dît!	Seg, I think I saw something!
Were em jê ra bibin!	Let's get rid of it!
Yek. Du. Sê. Çar…	One. Two. Three. Four…
(kenîn) Bi vî awayî ew dişibe pîramîda rastîn!	(laughter) That way it looks like a real pyramid!
Min dît!	I found!
Baş e ku ev fenera ronî rê nîşanî wî dide.	It is good that this bright lantern shows him the way.
Wey li min. Wey li min!	Woe to me. Woe to me!
Dapîra Pug? Dapîra Pug?	Grandma Pug? Grandma Pug?
Bila Pug derhênerîyê bike.	Let Pug direct.
Ev nêrdewan me dibe fezayê!	This ladder takes us to space!
Li dansa min binêre.	Look at my dance.
Heyama berê mirovan ji tiştên wisa bawer dikirin.	People used to believe in such things.
Ji wan kirî ez tirsnak im? Waa? Nexwe ji ber wê yekê ti kes nayê dikana min.	I'm terrible at buying them? Wow? Otherwise, no one comes to my shop because of that.
Pirtûkeka ku min xwendibû hat bîra min.	I remembered a book I had read.
Lê bizane ku çînîyan bi tenê vafirok îcad nekiriye.	But know that the Chinese didn't just invent the steamer.
Rêwîtîyeka bilez dest pê dike!	A quick trip begins!
Stêra Cemserê, ev tê wateya ku…	Star of Cemser, it means that...
Ji xeynî wan!	Except them!
Heyla jehr tê ketî.	The poison is falling.
Olaneeeek?	A religion?
Ev pir dişibe wî.	This is very similar to him.
Ez Seg im, û ev jî Pug e…	I'm Seg, and this is Pug…
Ez dê bibim korsanê şikeftî yê wêrek yê ku dinyayê ji dînozorên fezayî rizgar dike!	I will be a brave cave pirate who saves the world from space dinosaurs!
Hûn bi xêr hatin dinyaya newaze ya…	Welcome to the wonderful world of…
Bavê min divê ji bo Şah û Şahbanûyê lîstikekê pêşkêş bike, lê tu hevalên wî yên lîstikvan nehatin.	My father is supposed to perform a play for the King and Queen, but none of his fellow actors came.
Min nedizanî. Ez bi tenê aciz bûm û min xwast ku wî rawestînim!	I didn't know. I was just annoyed and wanted him to stop!
Tu çawa yî?	Have are you?
Lê pisîk ji wan hez dikin!	But cats love them!
Ez ji bo alîkarîyê, spasî we dikim, Seg û Pug. Hûn dixwazin ez bi sêrê ji bo we tiştekî bikim?	Thank you, Seg and Pug, for your help. Do you want me to do something for you?
(bêhnkirin) Himmm, sosîs.	(sniff) Hmmm, sausage.
Belê. Û ji bo ku em hemû zarokên li ser rûyê dinyayê di şevekê da razînin, divê em hinekî bilezînin!	I would. And in order to put all the children on the face of the earth to sleep at night, we have to hurry a little!
Babûn, Seg?	Dad, Seg?
Silav. Ez Seg im û ev jî hevalê min Pug e. Em dixwazin alî we bikin.	Hi there. I'm Seg and this is my friend Pug. We want to help you.
Dîyar e ku Pug ji wan margîseyan hînî xweveşartinê bûye.	It is clear that the Pug learned to hide from those marquises.
Dilekê min dibêje ew li van deran e.	My heart says it is in these places.
Silav.	Hi there.
Ev pirtûk di derheqê xweveşartinê da ye û navê wê…	This book is about self-disclosure and its name is…
Te cara dawî kurikên xwe li ku dîtin?	Where did you last see your boys?
Yan jî dibe ku li pirtûkxaneyê pirtûkek hebe ku alî me bike?	Or maybe there is a book in the library that can help us?
Wîîî!	Whoa!
De bilezîne!	Hurry up!
Ka ew Kolîn li ku derê ye?	Where is Colin?
Em herin ser nêrdewanê, Seg?	Shall we go up the ladder, Seg?
Weyla. Divê ez li Salona Mezin digel yên din bûma – lê sebra min xirecirê nayê!	Wow. I should have been in the Great Hall with the others – but I can't wait!
Divê em pir bêdeng bin. Li vir ajelin hene ku divê em wan aciz nekin.	We must be very quiet. There are birds here that we should not disturb.
Ez nîşanî Pablo Pîkadîlî didim bê ew dê çawa bibe mezintirîn lêderê akordîyonê!	I show Pablo Piccadilly how he will become the greatest accordion player!
Tu jî Şerlok Holms î, ne wisa?	You're Sherlock Holmes too, aren't you?
Xelek…	Circle...
Pehê kund, tu dikarî di ser qutîyan ra bifirî û rêya mala me nîşan bidî?	Pehe Kund, can you fly over the boxes and show the way to our house?
Min ji wê pirtûkê pir hez kir. Herweha ez êdî dizanim bê ez dê wan mişkan çawa ji sênîya xwe derxim!	I really liked that book. Also, I now know how to get those mice out of my house!
Belê, niha hate bîra min.	Yes, I remembered now.
Em birevin serê keştîyê yê tûjik!	Let's run to the top of the ship!
Waweylê! Êdî tu hêvîya min nema! We hîn ew Pisîkê Çeşirê yê delal nedîtîye.	Wow! I have no hope anymore! You haven't seen the cute Cheshire Cat yet.
Rojê pênc porsîyon sebze û fêkî, ne pênc mirîşk, xortino!	Five servings of vegetables and fruit a day, not five servings of chicken, guys!
Xwezî ez Dorîs bûma.	I wish I was Doris.
Di demeka kurt da her kes dê kreasyona min li xwe bike.	Soon everyone will be wearing my creations.
Ez dê wan têk bibim.	I will defeat them.
Lê divê em bêhtir tiştan hîn bibin.	But we have to learn more things.
Yûû hûû! Ez li pişt we me!	Yooo! I'm behind you!
Xeman nexwe Pug. Tu wê torê dibînî?	Don't worry Pug. Do you see that network?
Bi min xeyalên me dikarin heta hetayê pirsên weha bikin!	I think our imaginations can ask such questions forever!
Belkî em bikarin li ber wê bimînin?	Maybe we can stay in front of it?
Ew fikreka baş e, Pug.	That's a good idea, Pug.
Ji ber ku hemû dinya sahneyek e û hemû jin û mêr jî lîstikvan in.	Because the whole world is a stage and all men and women are actors.
Em herin ser nêrdewanê, Seg.	Let's go up the ladder, Seg.
Li hêvîya min be!	Hope for me!
Ji ber ku ronahîyên bajaran rê li ber wan nagirin.	Because the lights of the cities do not prevent them.
Divê em bilezînin Seg û Pug, dema vexwarina çayê ye. Hûn dixwazin ez çi bikim?	We have to hurry Seg and Pug, it's time for tea. What do you want me to do?
Ya min heye!	I have mine!
Tu hebe! Tu hebe/Hebûn! Hebûn!! Tu jî di lîstikê da heyî. Em dê guh nedin dîroka şanoya Şekspîr!	You have! You have/Have! Get back!! You are also in the game. We will not listen to the history of Shakespeare's theater!
Dem dema macerayê ye!	It's adventure time!
Dilekê min dibêje ku tu dê tiştekî bibînî ku hê nehatîye kirin.	My heart tells you that you will see something that has not been done yet.
Ez nizanim bê çima min dixwast ku bibim yeka ji we.	I don't know why I wanted to be one of you.
Li vê ecêbê!	In this wonder!
Mişkên penîrxwir û fêlbaz!	Cheese-eating and cunning mice!
Ev dişibe şikefteka gelekî dirêj û gelekî asê.	It looks like a very long and very steep cave.
Himm Arktîk… Abirdîn… Hih! Antartîka.	Hmmm Arctic… Abirdin… Hih! Antarctica.
Himm! Li vê ecêbê.	Hmm! In this wonder.
A rast, na. Dema ku min yek ji wan girt, ez dê nîşanî we bidim.	Right, no. I will show you when I get one of them.
Çawa ku min plan kiribû. Lê plan çi bû?	As I had planned. But what was the plan?
Peh!	Phew!
Hewar e! Kes heye? Kes tune!	It's cool! Is there anyone? No one!
Belkî li dikanê pirtûkek hebe ku vê bersivê bide me.	Maybe there is a book in the store that will give us this answer.
Divê em bikin ku ew alî me bikin!	We have to make them help us!
Ka em lê bifikirin, Pug. Em duh li ku derê bûn?	Let's think about it, Pug. Where were we yesterday?
Min jî bêrîya biskiwîtên xwe kirîye!	I miss my biscuits too!
Hirrrr. Ez pir hêrs bûm! Lê gaveka din ez dê wan efû bikim.	Hirrrr. I was very angry! But next step I will forgive them.
Bi min piştî ku asansorek li vir çêkirin divê em werin.	I think we should come after building an elevator here.
Mixabin nikarim, Pug. Min pirtûka xwe li destpêka çîrokê hişt.	Sorry I can't, Pug. I left my book at the beginning of the story.
Na, ev bû.	No, it was.
Em binêrin bê tu dikarî wan mişkan di xew ra bibî û Rekora Cîhanê bişikînî. Pug?	Let's see if you can put those mice to sleep and break the World Record. Pug?
Te got wênesaz, hii?	You said painter, hii?
Ne ewqasî komîk e, Seg.	Not so funny, Seg.
Ez ji bo vî tiştî pir pîr im!	I'm too old for this!
Wê ji bo nivîsîna çîroka te fikrek da te, Pug?	Did it give you an idea to write your story, Pug?
Holms?	Holmes?
Ji bo dîtina Pablo Pîkaso divê em herin cihê wî yê li kevîya Ru de Noysê.	To see Pablo Picasso, we have to go to his place at the corner of Rue de Noys.
Em derbasî çîrokeka din bibin…	Let's move on to another story...
Em li benda famkirinê nemînin.	We don't wait for understanding.
Em ne mirov in.	We are not human.
Yan radest bibin yan werin radestkirin!	Surrender or be delivered!
Waa? Biborin, Kevçî û Beroşê. Lê heta pêşbirka qevastina bilind bi dawî nebe, ya we dest pê nake. Heta niha bi tenê Cek Bî Nîmbil karî xwe di ser şamdankê ra biqevêze, lewra me çovik pir kurt kir.	Wow? Sorry, Spoon and Beroş. But yours doesn't start until the high-stakes race is over. Until now, only Cek Bi Nimbil managed to jump on the candlestick, so we made the crow very short.
Erê, ez dizanim Pug, lê pêşî divê em bizanin bê kî wî dengî derdixe…	Yes, I know Pug, but first we need to know who is making that noise...
Ez naxwazim bi xwezayê werim dorpêçkirin, Dapîrê.	I don't want to be surrounded by nature, Grandma.
Ez baş im, lê pinda min hinekî êşîya.	I'm fine, but my butt hurts a little.
Çi çîrokeka dilsoj.	What a heartwarming story.
Yan jî… bi ya cinawirê deryayê bikin.	Or... do it with the sea monster.
Bijîîî! Pir baş bû! Bravo! Sihet xweş!	Alive! It was very good! Bravo! Good health!
Hew dibe.	It happens.
Ev der pir tevlihev e.	This place is very complicated.
Aqilê min jê negirt, Seg.	I didn't mind, Seg.
Ez dizanim sîxurên qesra kavil li her derê ne!	I know castle spies are everywhere!
Tama goşt ji van biskiwîtên segan tê.	The meaty flavor comes from these dog biscuits.
Dengê kornayê bilind e.	The sound of the horn is loud.
Lê ez ji gelek tiştan ditirsim.	But I am afraid of many things.
Belê… têra xwe qewîn xuya dike.	Well… it seems solid enough.
Hesta ku kesek çavdêrîya me dike?	The feeling that someone is watching us?
Zû wê şewqeyê bide min!	Give me that glow soon!
We dizanî ku zimanê zurefayan şîn e.	Did you know that the language of giraffes is blue?
Deqîqeyekê destûrê bidin.	Allow a minute.
Dîsa, Pug?	Again, Pug?
Tu pir wêrek bûyî, Super-Cewrik.	You were very brave, Super-Crowd.
Bijî!	Live!
Te got, bilez? Pir baş e! Wê ji min ra bihêle. Bi tenê divê tu herî û ji min ra bêhtir boyax bînî.	Did you say, fast? In charge! Leave it to me. You just have to bring more paint to me.
Û pir qet nehejîya jî!	And it didn't shake at all!
Hûn dikarin wê zanînê bi xwe ra bibin malê û ji bo tiştên baş bi kar bînin.	You can take that knowledge home with you and use it for good.
Niha jî ew ji pirtûkan konan çêdikin da ku li malê betlaneyê bikin!	Now they are making tents out of books to take the holidays at home!
Ez leqayî gelek aferîdeyên mizawir hatim û di xebata xwe ya li ser tevgerên ajelan da min gelek tevgerên wan yên ecêb dîtin, lê tu ajel biqasî yê ku min li Seraya Bakînhimê dît ne balkêş bû.	I have come across many interesting creatures and in my work on the movements of eagles I have seen many of their strange movements, but no eagle was as interesting as the one I saw in the Bakınhim Greenhouse.
Li vê ecêbê!	In this wonder!
Lê divê hûn di pênc deqîqeyan da wî bibînin, yan na hûn dê derbasî lîstika din bibin!	But you have to find him in five minutes, or you will move on to the next game!
Xijikîna li vê derê xweş e, Pug.	It's nice to scratch here, Pug.
Û xelata me…?	And our prize...?
Pug, hay ji pirtûka min hebe!	Pug, watch out for my book!
Seg, ez dibêjim qey ji cihên biçûk ra alerjîya min heye!	Seg, I mean I'm allergic to small spaces!
Tu dizanî em kî ne?!	Do you know who we are?!
Ev der pir xweş, Seg.	This place is great, Seg.
Pirtûkek… Pirtûkek… Pirtûkeka din!	A book... A book... Another book!
Li vê ecêbê! Li vir tu tişt xuya nake.	In this wonder! Nothing appears here.
Rast e!	Joint venture!
Tekerên we li gor van şopên tekeran zêde zêde mezin in.	Your tires are too big for these tire tracks.
Rovîyekê gotinhez… têgihhez… û biwêjhez.	An eloquent… insightful… and articulate speaker.
eger tu biskiwîtên pisîkan çêbikî, gelek mişterîyên te yên nû dê çêbibin.	If you make cat biscuits, you will have many new customers.
Ez gîtara xwe bînim!	I bring my guitar!
Spas, Kolîn. Piştî ku me xwarina xwe xwar, em dê herin û te tenê bihêlin.	Thanks, Colin. After we have eaten, we will go and leave you alone.
Mişkên mizawir yên pirûkxaneyê nahêlin, Pug. Hertim giregira wan e li vir.	Don't let the grocery store mice go, Pug. They are always important here.
Ez Kutik im û ev jî Pug e.	I'm a Puppy and this is a Pug.
Koalayekê li ser kaşkaşkê da pêşîya me!?!	A koala on the road ahead of us!?!
Ez pir kêfxweş bûm.	I was very happy.
Hûn bi xêr hatine, lêgerino. Em dikin ku herin rêwîtîyeka kifişkirinê ya – di binê erdê da!	Welcome, seeker. We are going on a journey of discovery - underground!
Belkî li dikanê pirtûkek hebe ku tu dema xwe zû pê derbas bikî.	Maybe there is a book in the store that you can pass the time with.
Maseyeka gilover! Bila. Pir hêsan e! Round-inious Tab-linious!	A golden table! Oh ok. It's very easy! Round-inious Tab-linious!
Aha! Ev çîrok li gor me ye. Ew demeka dirêj bû ku xurttirîn superlehengan bi hev ra şerê xeraban dikir.	Aha! This story is according to us. It has been a long time that the strongest superheroes fought together against the villains.
Ez heta niha li ser tiştekê wisa nefikirîbûm, Pug.	I've never thought of anything like that before, Pug.
Divê em bi hev ra li wan bigerin?	Should we look for them together?
Parçeyekê pazila min revîya û ji bo peydakirina wî divê hûn sê bi tiştanokan derxin.	A piece of my puzzle has escaped and to find it you have to remove three objects.
Û min jî pirtûka xwe dît.	And I saw my book.
Ew dişibe dengê lîstikvanekê baş.	It sounds like a good actress.
Ook-Ook! Eek- Eek!	Ook-Ook! Eek- Eek!
Ew hema wisa gelek pirsan dike?	Does he ask that many questions?
Em alîkarîya te bikin?	May we help you?
Xuya ye hûn her du li hev nakin?	You two don't seem to get along?
Ez ji pirtûkên berî razanê hez dikim – bila biskiwîtek jî hebe.	I love books before bed - let there be a biscuit.
Peh-Peh! Ew firîya!	Peh-Peh! He flew!
Silav! Siwar bibin.	Hi there! Get on board.
.. Mixabin dengê min ketîye!	.. Unfortunately, I lost my voice!
Aa binêrin	Look at it
Hemû yûnîkorn stêr in, lewra divê hûn li ser van kevirên ku dihejin, vê herîyê derbas bikin!	All unicorns are stars, so you have to cross this mud on these moving rocks!
Waa? Ma ev ne tiştekî baş e?	Wow? Isn't that a good thing?
Bisekine heta tu vê bibînî!	Wait until you see this!
Ayy! Eeeew eeeew çi bûûû Segggg?	Ayy! Eeeew eeeew what happened Segggg?
Em dê xelata xwe ya taybet bistînin?	Will we get our special prize?
Ew baxçeyê ji qalikan ji bo vî meymûnî tiştekê taybet bûye.	That garden of shells has become something special for this monkey.
Baş e, de herin!	Well, let's go!
Ez ji biskiwîtên segan hez dikim. Ez herî zêde ji biskiwîtên teze hez dikim. Ez ji yên qelqelok jî hez dikim.	I love dog biscuits. I like fresh biscuits the most. I like the colorful ones too.
Dibe ku fezayîyan kurikên min biribin.	Maybe the aliens took my boys.
Xweş xuya dike, lê gelo biheyecan e? Ez dixwazim tiştên kelecanî bixwînim… tevgerên biwêrekî yên ku lêdana rajena min bilind bikin!	Sounds good, but is it exciting? I want to read interesting things... daring moves to raise my rajen beat!
Silav hevalino. Ez dê bibim yekem.	Hello friends. I will be the first.
Rovîyê Gotinhez, tu dixwazî di vê lêgerînê da tev li me bibî?	Do you want to join us in this search?
Biborin… Biborin… Biborin!	Sorry... Sorry... Sorry!
Pirtûka hevsengîyê.	Balance sheet.
Li vir ji bilî hejmaran tiştek tune ye.	There is nothing here but numbers.
Makîneya bisêr ya ku Pug û mişkan dike bi qasî hev?	The amazing machine that makes Pugs and mice equal?
Li gor van pirtûkan gişan, mişk ji penîrî hez dikin… û tu nikarî bi pirtûkan ra nîqaş bikî.	According to these books, mice love cheese... and you can't argue with books.
Silav. Ez Seg im û ev jî Pug e.	Hi there. I'm Seg and this is Pug.
Zû xortino, bixijikin jêr!	Hurry up guys, get down!
Girava Xezînayê!	Treasure Island!
Belkî li dikanê pirtûkek hebe ku sedema wê ya rastîn ji me ra bibêje.	Maybe there is a book in the store that will tell us the real reason.
Hiii! Ya min tune ye.	Hiii! I don't have any.
Li wan hestîyan binêre!	Look at those bones!
Û va ye em di binê erdê da ne.	And here we are underground.
Gelo pirtûkek heye ku dîtina tiştan nîşan dide?	Is there a book that shows how to see things?
Li vê ecêbê, Kutik. Pehê kund ji te gelekî bêhtir dizane tiştan!	In this wonder, Kutik. Pehe kund knows a lot more things than you!
Li vê ecêbê!	In this wonder!
Hûn ne ew keçika kûmsor in!	You are not that red-haired girl!
Me li vir tu pisîk nedîtin.	We didn't see any cats here.
Serîşûştin, Seg.	Bathing, Seg.
Spas dikim, Pug. Tu gelekî wêrek î.	Thank you, Pug. You are very brave.
Bikevin vir, xortno.	Get in here, boys.
Dapîra Pug!	Grandma Pug!
Ayy-ayy-ayy-ayy- aayyyy…	Ayy-ayy-ayy-ayy- aayyyy…
